Gene	RNA Tissue Category	RNA TS TPM	BaseMean	log2FoldChange	lfcSE	stat	P_value	P_value_adjusted
THBS1	Expressed in all		1522.438627	1.134626233	0.326534895	3.474747259	0.000511335	0.214495511
PSORS1C1	Tissue enriched	testis: 27.3	3.108887855	2.687144865	0.777562376	3.455857622	0.000548545	0.217993703
BCL2L2-PABPN1	Mixed		7.474582212	3.711105392	1.076842266	3.446285041	0.000568351	0.221970279
PTGDS	Expressed in all		320.9248008	1.006969423	0.293762582	3.427834198	0.000608417	0.225769346
COL1A2	Expressed in all		1374.013827	0.83256263	0.243071605	3.42517436	0.000614405	0.225769346
NRN1L	Mixed		3.510033003	-1.632139935	0.476730258	-3.423613057	0.000617945	0.225769346
H3F3C	Tissue enriched	testis: 33.7	3.390441157	1.740556506	0.510354967	3.41048215	0.000648481	0.230173048
PLA2G2D	Tissue enhanced	lymph node: 118.5;tonsil: 54.0	15.31274191	1.540149506	0.452704348	3.402108932	0.00066868	0.230173048
FHL2	Expressed in all		135.0972414	0.951072485	0.279958188	3.397194746	0.000680805	0.230173048
SLC22A31	Tissue enriched	lung: 23.0	2.172888796	3.132248135	0.923248641	3.392637689	0.000692231	0.230594469
IL6	Tissue enhanced	adipose tissue: 136.4	5.611098185	2.575959992	0.762055857	3.38027714	0.000724128	0.233441176
HSPA2	Tissue enhanced	testis: 188.6	44.06080102	1.294882121	0.384295711	3.369494069	0.000753063	0.236922024
PTPRT	Group enriched	cerebral cortex: 24.3;fallopian tube: 17.4	18.1469709	-1.090079724	0.325613565	-3.347771221	0.000814642	0.248727276
PTGS2	Tissue enhanced	seminal vesicle: 180.6	47.86960861	1.162910053	0.349679956	3.325641158	0.000882154	0.262928378
NR4A3	Tissue enhanced	adrenal gland: 88.9	119.8974859	2.308916515	0.695275411	3.320866061	0.000897386	0.263994621
C19orf57	Tissue enhanced	testis: 20.7	6.283542837	-1.925040599	0.580518941	-3.316068544	0.000912934	0.265125497
BIRC3	Tissue enhanced	lymph node: 138.1	528.4230124	0.786284112	0.237918941	3.304840332	0.000950305	0.271192456
PFKP	Expressed in all		60.93632271	0.842812984	0.255316197	3.301055689	0.000963218	0.271192456
COL1A1	Expressed in all		1537.818846	0.914801929	0.277388896	3.297903924	0.000974095	0.271192456
PDGFA	Expressed in all		102.9153975	0.769021731	0.233780199	3.289507557	0.001003629	0.272847115
AEBP1	Expressed in all		741.1561396	0.858750047	0.261238474	3.287226551	0.001011794	0.272847115
PDLIM3	Tissue enhanced	skeletal muscle: 1097.6	87.22997606	0.95381748	0.290805643	3.279913927	0.001038388	0.27672419
PPIL6	Tissue enhanced	fallopian tube: 53.2;testis: 32.6	26.78213878	1.327480357	0.405171286	3.276343618	0.001051605	0.276987949
PF4V1	Tissue enhanced	spleen: 3.9	3.225028866	1.726545113	0.527526442	3.272907242	0.001064474	0.277154783
CLDN19	Group enriched	kidney: 19.7;placenta: 14.5	2.396467297	2.483364459	0.765607894	3.243650542	0.001180084	0.297337048
TNFRSF11B	Tissue enriched	thyroid gland: 140.4	218.5645008	0.569481487	0.175755493	3.240191688	0.001194494	0.297337048
PRRT3	Tissue enhanced	cerebral cortex: 19.4;parathyroid gland: 27.8	24.73996212	1.332162554	0.412121676	3.232449613	0.001227338	0.302191908
MRAP2	Tissue enhanced	cerebral cortex: 21.0	4.173446906	1.870027122	0.579613398	3.226335222	0.001253864	0.305403537
DCDC1	Tissue enhanced	fallopian tube: 6.6;testis: 4.2	82.92077128	-0.870693109	0.271558344	-3.206283759	0.001344613	0.320612409
OSR1	Mixed		3.337513667	1.609606172	0.502781843	3.201400758	0.001367612	0.322699393
GEM	Tissue enhanced	gallbladder: 364.8	197.7128086	1.051203809	0.329190075	3.193303474	0.00140655	0.328465774
IKZF3	Tissue enhanced	lymph node: 44.7;spleen: 31.7;tonsil: 39.2	3.720786611	2.656299264	0.834403946	3.183469201	0.001455216	0.33636277
FOSL1	Tissue enhanced	adipose tissue: 35.6;gallbladder: 51.7	5.986635533	2.313905039	0.735317059	3.146812672	0.001650607	0.373895441
STRA6	Tissue enhanced	"cervix, uterine: 37.0;placenta: 20.4"	2.52559803	-2.368140667	0.75325292	-3.143885148	0.001667209	0.373916923
KCNH6	Tissue enhanced	kidney: 6.1;prostate: 5.4;small intestine: 5.5	1.770378295	2.95925299	0.945187842	3.13086231	0.001742939	0.383311113
RND1	Tissue enhanced	cerebral cortex: 39.8;liver: 31.1	327.8635416	0.73952424	0.236991149	3.120471983	0.001805615	0.389025058
ROR2	Tissue enhanced	parathyroid gland: 35.1	17.77444274	1.170480782	0.375586524	3.116407824	0.001830689	0.389025058
FOSL2	Expressed in all		502.6675467	0.755337989	0.245967384	3.070886789	0.002134241	0.425747859
FAM83F	Tissue enhanced	testis: 21.6	34.59234465	1.074248315	0.349938021	3.069824514	0.002141846	0.425747859
MED27	Expressed in all		66.95321934	0.418663898	0.136513379	3.066834196	0.002163388	0.425747859
BCAT1	Mixed		73.74797607	0.922250118	0.300778154	3.06621377	0.002167883	0.425747859
HAPLN3	Tissue enhanced	appendix: 13.8;lymph node: 10.8	16.03201448	1.175270166	0.383348604	3.06580004	0.002170884	0.425747859
SH3PXD2A	Mixed		644.2421026	-0.486697902	0.158946569	-3.062022064	0.002198472	0.425747859
RGS4	Tissue enriched	cerebral cortex: 289.2	63.39870253	1.007783758	0.329811594	3.055634722	0.002245847	0.431126457
CRISPLD2	Expressed in all		306.4667384	0.732882155	0.240527312	3.046981029	0.002311523	0.435474923
ICAM1	Expressed in all		635.7132904	0.707647992	0.232266905	3.046701778	0.002313671	0.435474923
TRPM2	Mixed		31.88572734	0.834558426	0.274067683	3.045081484	0.002326173	0.435474923
CXCL1	Tissue enhanced	"cervix, uterine: 178.6;spleen: 112.8"	92.70586635	1.521240066	0.500093387	3.04191198	0.002350806	0.436479206
CXCL6	Tissue enhanced	gallbladder: 50.3;spleen: 112.9	395.0601278	1.310253631	0.431995368	3.03302704	0.002421139	0.439440422
ZIC1	Tissue enriched	cerebral cortex: 23.8	95.73867707	-0.654065208	0.215674231	-3.032653487	0.002424138	0.439440422
TNFAIP3	Expressed in all		373.7415301	0.589706035	0.194458677	3.032551921	0.002424954	0.439440422
COL5A1	Mixed		410.4771785	0.672309961	0.2229495	3.01552576	0.002565341	0.457559961
PRH2	Tissue enriched	salivary gland: 16591.4	2.112074238	-2.295158626	0.763183683	-3.007347613	0.002635382	0.462739361
FCAMR	Tissue enhanced	kidney: 32.1;lymph node: 14.0;tonsil: 11.3	85.12320898	1.134992691	0.377699325	3.005016468	0.002655665	0.462739361
CD6	Tissue enhanced	appendix: 28.5;lymph node: 49.2	36.49568948	1.114228218	0.371457577	2.999610959	0.002703246	0.46743464
C2CD4A	Mixed		2.809135033	2.418113289	0.807297888	2.995317248	0.002741595	0.470474374
CSRNP1	Expressed in all		359.86676	1.044347807	0.349166847	2.990970692	0.002780922	0.471852075
ZNF594	Mixed		43.2069535	-0.694424505	0.232716572	-2.983992503	0.002845137	0.47550146
HEPN1	Tissue enriched	cerebral cortex: 79.5	72.34588367	-1.286613099	0.431322533	-2.982948956	0.002854856	0.47550146
C16orf54	Tissue enhanced	bone marrow: 26.0	43.91213882	1.05692442	0.354655337	2.980145253	0.002881117	0.476372769
BHLHE22	Tissue enhanced	cerebral cortex: 12.2	35.56938978	0.862564549	0.290126799	2.973060583	0.002948462	0.480493325
TENM4	Tissue enhanced	ovary: 20.8;parathyroid gland: 54.0	13.01186365	1.166827035	0.394098433	2.960750257	0.003068907	0.490701226
COL5A3	Tissue enhanced	placenta: 47.7	377.8235196	0.998050978	0.337175949	2.96003016	0.003076089	0.490701226
CCDC80	Mixed		171.3734923	0.932760104	0.31556958	2.955798538	0.003118607	0.492439948
CDKN1A	Expressed in all		883.1908031	0.761798793	0.258204584	2.950368976	0.003173946	0.492439948
NALCN	Tissue enhanced	cerebral cortex: 28.1	45.28376148	1.097715596	0.372626974	2.945883347	0.003220338	0.496238789
C15orf48	Tissue enhanced	colon: 716.6;rectum: 832.9	27.69248958	1.158413421	0.393560455	2.943419257	0.003246085	0.496826448
VDR	Tissue enhanced	parathyroid gland: 175.9	25.85070325	0.835937496	0.284380341	2.939505219	0.003287367	0.499768087
OSM	Tissue enhanced	bone marrow: 78.7	5.629855312	1.599420275	0.544856109	2.93549113	0.003330201	0.502904802
GPR84	Tissue enhanced	appendix: 11.6;bone marrow: 14.7	2.389383924	1.860701426	0.634830221	2.931022131	0.003378487	0.503184263
ESRRG	Tissue enhanced	parathyroid gland: 77.5	43.03817305	1.06190285	0.363588373	2.920618286	0.003493376	0.503184263
AZU1	Tissue enriched	bone marrow: 1311.2	3.585378822	2.642047139	0.905202968	2.918734509	0.003514554	0.503184263
AKR1B10	Tissue enhanced	duodenum: 635.9;gallbladder: 283.3;small intestine: 387.2;stomach: 414.4	797.6406763	2.141924922	0.73479472	2.914997704	0.003556912	0.503184263
IER5	Mixed		161.7461758	0.477029756	0.163783101	2.91257006	0.003584678	0.503184263
FAT1	Mixed		786.6200244	0.641978647	0.22065443	2.909430128	0.003620883	0.503184263
AQP4	Group enriched	cerebral cortex: 630.0;lung: 171.9	48.33135604	0.828035862	0.284898118	2.906427976	0.003655811	0.503184263
ITGB6	Tissue enhanced	lung: 66.9	17.79513433	1.513702041	0.520956556	2.905620484	0.003665257	0.503184263
KCNMB2	Tissue enhanced	epididymis: 43.1;fallopian tube: 22.3;ovary: 19.0	2.372508374	-1.419715104	0.489865358	-2.898174124	0.003753421	0.512183745
CXCL10	Tissue enhanced	appendix: 129.4	199.9153984	1.063928111	0.3686171	2.886269005	0.003898388	0.526491744
CPZ	Tissue enhanced	ovary: 121.5	22.0443912	1.1358175	0.393594566	2.885755033	0.00390476	0.526491744
NR0B2	Tissue enhanced	duodenum: 78.6;liver: 48.8	703.3820671	-0.699244866	0.243543941	-2.871124053	0.00409015	0.539731506
RPS6KA5	Mixed		3.189794738	-2.863333057	0.997390578	-2.87082425	0.004094031	0.539731506
CDH6	Tissue enhanced	kidney: 16.0	197.4739789	1.093053532	0.381032203	2.868664444	0.004122089	0.539731506
TMEM233	Group enriched	cerebral cortex: 16.2;skeletal muscle: 11.5;thyroid gland: 21.4	9.147184954	1.610194629	0.563022034	2.859914055	0.004237558	0.551661904
FERMT1	Mixed		21.43079368	1.0615221	0.372426832	2.850283622	0.004368026	0.559008609
C17orf67	Mixed		32.14189867	-0.543500868	0.191409806	-2.839461982	0.004518968	0.568687013
CTXN1	Tissue enhanced	cerebral cortex: 100.4	2.615012951	1.940198035	0.684179483	2.835802715	0.004571067	0.569015709
LTBP2	Mixed		244.4807197	0.807083021	0.28461006	2.835750148	0.00457182	0.569015709
TMEM72	Tissue enriched	kidney: 54.3	2.784783958	1.698708128	0.600592671	2.828386377	0.00467833	0.569909267
HAUS4	Expressed in all		225.3145525	-0.392136892	0.138647704	-2.828297038	0.004679636	0.569909267
GSG2	Tissue enhanced	testis: 13.2	2.680951943	1.171466159	0.415193114	2.821497079	0.004780007	0.579019919
KALRN	Tissue enhanced	cerebral cortex: 51.3	306.6914193	-0.415099743	0.14774331	-2.809600934	0.004960296	0.58521162
RIPK4	Tissue enhanced	esophagus: 31.5	253.6920341	0.580574466	0.206823739	2.807097812	0.004999006	0.586722716
DIO2	Group enriched	"cervix, uterine: 269.4;thyroid gland: 601.2"	4.053690449	1.689550511	0.604485105	2.795024221	0.005189583	0.590250554
KCND2	Tissue enhanced	cerebral cortex: 20.7	12.55514991	1.623813282	0.581560277	2.792166771	0.005235636	0.590250554
SLAMF9	Tissue enhanced	testis: 1.1	7.192889825	1.394424204	0.499817609	2.789866098	0.005272984	0.590250554
KCNA2	Tissue enriched	cerebral cortex: 23.2	0.91832618	-2.129970535	0.765284895	-2.7832387	0.005381919	0.592204332
RGPD5	Tissue enhanced	testis: 6.6	241.9318236	-0.567963182	0.204136378	-2.782273242	0.005397957	0.592204332
MFAP2	Tissue enhanced	gallbladder: 100.7	12.99238485	1.128326016	0.40603704	2.778874598	0.005454758	0.592204332
C2CD4B	Tissue enhanced	adipose tissue: 15.3	19.36281291	1.303539856	0.469302106	2.777613479	0.005475972	0.592204332
LAMC3	Tissue enhanced	placenta: 88.7	199.3389108	0.971073703	0.349639673	2.777355599	0.005480319	0.592204332
GNB5	Mixed		406.5942074	0.302656624	0.109490334	2.764231454	0.005705705	0.609703092
ZNF782	Mixed		45.26955202	-0.47582877	0.172139613	-2.764202618	0.005706209	0.609703092
LHX4	Mixed		12.70842745	-0.812551456	0.294422615	-2.759813324	0.00578344	0.613032152
EMILIN2	Tissue enriched	parathyroid gland: 269.3	51.76822723	0.674553931	0.244460397	2.759358728	0.005791492	0.613032152
COL4A4	Mixed		135.4779465	0.634488182	0.230313284	2.754891815	0.005871155	0.618554421
CDH22	Group enriched	adrenal gland: 2.0;cerebral cortex: 10.2;fallopian tube: 2.3;skin: 5.1	1.86238221	2.408432578	0.874717452	2.753383475	0.005898276	0.618554421
AMPD3	Tissue enhanced	parathyroid gland: 54.4	64.16331676	0.471632566	0.171685983	2.74706507	0.00601312	0.627692173
NPTX1	Tissue enriched	cerebral cortex: 122.5	2.617489816	2.46838058	0.899131727	2.745293604	0.006045678	0.628077632
TMEM119	Tissue enhanced	"cervix, uterine: 93.0"	21.1552517	0.894652871	0.326117225	2.743347493	0.006081629	0.628077632
FBN1	Tissue enhanced	placenta: 107.5	277.8363805	0.610498104	0.222618002	2.742357309	0.006099995	0.628077632
APOL3	Mixed		651.2468318	0.566608541	0.207053759	2.736528637	0.006209119	0.632127852
IL1RN	Tissue enhanced	esophagus: 1243.9	525.3049351	0.716511282	0.262741366	2.727059292	0.006390156	0.635710522
SERPINE1	Tissue enhanced	gallbladder: 580.3;placenta: 600.2	1261.943307	1.287519216	0.472426666	2.725331377	0.006423698	0.635710522
CHMP1A	Expressed in all		467.6030705	0.390817536	0.143415659	2.725068782	0.006428809	0.635710522
SLC29A4	Tissue enhanced	adipose tissue: 44.2	165.626063	-1.34403925	0.493832653	-2.721649209	0.006495705	0.635710522
TMEM132B	Tissue enriched	cerebral cortex: 21.8	4.653521958	-1.123702337	0.413151262	-2.719832759	0.006531494	0.635710522
KCNJ5	Tissue enhanced	adrenal gland: 84.8	31.79342105	0.884668808	0.325302265	2.719528584	0.006537504	0.635710522
STMN2	Tissue enriched	cerebral cortex: 489.4	35.85958999	1.921489191	0.707202174	2.717029533	0.006587073	0.637651183
MMP19	Tissue enhanced	adipose tissue: 64.2;gallbladder: 97.3	42.64073888	1.250830453	0.462648806	2.703628402	0.006858694	0.651902369
SMPDL3B	Mixed		5.404520216	1.549690062	0.573825373	2.700630079	0.006920827	0.651902369
KIRREL	Mixed		204.0352073	0.55324764	0.204929623	2.699695786	0.006940291	0.651902369
FBXW2	Expressed in all		25.74027997	-0.943714823	0.349596877	-2.699437221	0.006945686	0.651902369
PDZD2	Mixed		26.19581881	-0.672301212	0.249157552	-2.698297551	0.006969511	0.651902369
DEFA1	Tissue enriched	bone marrow: 30312.0	40.83025567	1.77559068	0.658775583	2.695289149	0.007032757	0.652893513
SPINK1	Tissue enriched	pancreas: 7127.3	642.8348745	-2.143413907	0.797911205	-2.686281248	0.007225224	0.665308045
RP11-211G3.2	Tissue enhanced	skeletal muscle: 8.0	4.564156642	-1.135229383	0.423187727	-2.682566888	0.007305954	0.667316413
ATP6AP1L	Mixed		33.93941709	-0.509461906	0.190030948	-2.680941773	0.007341529	0.667321675
PLAUR	Expressed in all		64.60773305	0.989986443	0.369516225	2.67914201	0.007381108	0.667321675
C5AR1	Tissue enhanced	appendix: 121.2	145.9213367	0.791617491	0.295540668	2.678539962	0.007394391	0.667321675
MYRFL	Group enriched	duodenum: 23.7;small intestine: 24.0	2.040969456	2.04949118	0.766116116	2.675170429	0.007469127	0.671391523
LAMA2	Tissue enhanced	placenta: 150.0	143.8888611	0.870478997	0.32586034	2.671325381	0.007555237	0.676447549
TIAF1	Mixed		63.62884226	-1.62341116	0.608639096	-2.667280447	0.007646783	0.681599458
CSMD3	Group enriched	cerebral cortex: 4.9;testis: 1.8	2.508781761	1.797818461	0.674690609	2.664656119	0.007706709	0.681923285
EMP1	Expressed in all		260.1731235	0.835090049	0.313578457	2.663097638	0.007742494	0.682424067
CBARP	Tissue enhanced	adrenal gland: 2.4;cerebral cortex: 7.0	3.613709665	1.527113893	0.574447941	2.658402587	0.007851204	0.689323573
PIM1	Expressed in all		338.1246652	0.523370231	0.197551147	2.649289756	0.008066114	0.70005218
NCOA7	Expressed in all		519.571014	0.666068015	0.251819891	2.645017484	0.00816867	0.700896107
DSG3	Tissue enriched	esophagus: 349.5	3.55897768	1.976141475	0.747480026	2.643738167	0.008199606	0.700896107
WNT9A	Mixed		4.524542487	1.854065271	0.701758562	2.642027287	0.008241142	0.701361129
EGR2	Tissue enhanced	thyroid gland: 234.3	86.22831011	1.296241441	0.490820716	2.640967261	0.008266971	0.701361129
FILIP1L	Mixed		181.0371604	0.846873172	0.321080699	2.6375711	0.008350212	0.703145924
MYADM	Expressed in all		681.3158862	0.507065382	0.192357115	2.636062526	0.008387427	0.703145924
IL4I1	Tissue enhanced	appendix: 24.5;testis: 32.0	20.16225243	0.925290672	0.351611136	2.631573854	0.008499039	0.703145924
CYP3A43	Tissue enriched	liver: 22.7	148.5053466	-0.84134014	0.319870512	-2.630252265	0.008532153	0.703145924
UNC119	Expressed in all		166.3477828	0.358668131	0.136392917	2.6296683	0.008546822	0.703145924
SCTR	Tissue enhanced	duodenum: 26.7;lung: 12.7;pancreas: 14.4	23.6877725	0.961306913	0.365783762	2.628074327	0.008586975	0.703145924
ICAM4	Tissue enhanced	bone marrow: 8.7;lung: 14.5	5.323919908	1.26752606	0.482444314	2.627300238	0.008606536	0.703145924
CAMK1D	Tissue enhanced	cerebral cortex: 52.0	12.40618314	1.113762114	0.424103462	2.626156617	0.008635507	0.703145924
EPB41L1	Mixed		356.8309803	0.965365243	0.367619801	2.625988156	0.008639782	0.703145924
COL3A1	Tissue enhanced	"cervix, uterine: 3796.7;gallbladder: 3334.2;smooth muscle: 3029.8"	3270.552429	0.543476389	0.207123767	2.623920934	0.008692396	0.703145924
TMEM200A	Tissue enhanced	endometrium: 65.1	33.16872606	1.113304424	0.424643352	2.621739913	0.008748216	0.703145924
PRG2	Tissue enriched	placenta: 3880.8	12.10353219	1.659610083	0.633800011	2.618507501	0.008831535	0.703145924
BHLHE41	Tissue enhanced	thyroid gland: 94.5	43.62668605	0.824469447	0.314871296	2.618433172	0.008833459	0.703145924
SORCS2	Tissue enhanced	cerebral cortex: 19.3	130.0283281	0.783906601	0.299387141	2.618370973	0.00883507	0.703145924
RUNX1	Mixed		185.2451861	0.607870132	0.232336929	2.616330232	0.008888055	0.703317248
UBD	Tissue enhanced	lymph node: 94.9;tonsil: 92.5	531.1632073	0.904569192	0.346167736	2.613095032	0.008972635	0.703317248
LUM	Tissue enhanced	gallbladder: 929.5	1311.034876	0.704849782	0.269861295	2.61189654	0.00900415	0.703317248
FNDC1	Tissue enhanced	gallbladder: 22.9;thyroid gland: 34.1	51.04850064	1.038136165	0.397943145	2.608754987	0.009087228	0.703446959
TUSC3	Mixed		153.7030326	0.640619482	0.245826554	2.605981619	0.009161138	0.703446959
RBM47	Mixed		2204.756515	0.230349387	0.088454623	2.604153164	0.009210159	0.703446959
PODN	Tissue enhanced	gallbladder: 161.0	195.2504096	0.722511655	0.277540577	2.603264939	0.009234056	0.703446959
NTN1	Mixed		56.05776206	0.573486801	0.220299345	2.603216102	0.009235372	0.703446959
MYH4	Tissue enriched	skeletal muscle: 3.6	18.96074317	-2.855580304	1.097343353	-2.602266917	0.009260974	0.703446959
MVP	Expressed in all		828.8824843	0.49950807	0.191999869	2.601606303	0.00927883	0.703446959
IL18BP	Tissue enhanced	spleen: 56.2	98.92901785	0.603681186	0.232127916	2.600640184	0.009304999	0.703446959
MMP14	Mixed		452.2153964	0.450875716	0.173398953	2.600221681	0.009316356	0.703446959
MACF1	Expressed in all		1790.965502	-0.277021539	0.106645234	-2.597598861	0.009387809	0.706487224
MAP4	Expressed in all		1162.607517	0.313837259	0.121026921	2.593119411	0.009510974	0.712205548
CORO1C	Expressed in all		786.4666897	0.231233264	0.089191368	2.59255204	0.009526677	0.712205548
KCNA5	Tissue enhanced	heart muscle: 16.1	5.446991372	-1.366781155	0.52994376	-2.579106047	0.009905637	0.733276124
NTS	Group enriched	small intestine: 189.6;stomach: 43.5	23.53920802	1.24542369	0.484336087	2.571403875	0.010128713	0.746467704
EPDR1	Expressed in all		87.77135253	0.40690228	0.158285518	2.570685468	0.010149746	0.746467704
CILP2	Tissue enhanced	gallbladder: 2.5;testis: 4.2	7.514601995	1.503958846	0.58572261	2.567698121	0.010237627	0.746881312
SIRPD	Tissue enriched	testis: 72.6	0.838185906	-2.408271588	0.938116677	-2.567134394	0.010254286	0.746881312
HTRA4	Tissue enriched	placenta: 94.9	2.192317732	2.464046501	0.960686877	2.564879941	0.010321151	0.748429826
SLC2A3	Tissue enhanced	bone marrow: 271.2	157.9644113	0.744067895	0.290176339	2.564192164	0.010341627	0.748429826
DEFA4	Tissue enriched	bone marrow: 3105.2	3.480828499	1.830166431	0.715715052	2.55711603	0.010554401	0.760372376
MEOX1	Tissue enhanced	adipose tissue: 25.3	3.934390173	1.542678521	0.603439042	2.55647781	0.010573781	0.760372376
ZNF160	Expressed in all		222.163048	-0.303619107	0.11892316	-2.553069623	0.010677815	0.762189533
INPP5B	Expressed in all		316.9585968	-0.196429413	0.076981945	-2.551629653	0.010722042	0.762189533
PAX2	Group enriched	epididymis: 37.1;fallopian tube: 19.0;kidney: 25.3;seminal vesicle: 20.0	3.966453789	2.815366882	1.107773877	2.541463506	0.011038947	0.767777863
ANOS1	Group enriched	cerebral cortex: 32.3;lung: 64.7;parathyroid gland: 48.5;thyroid gland: 15.5	39.74203758	0.774664648	0.3048905	2.540796281	0.011060034	0.767777863
NANOG	Tissue enhanced	testis: 1.9	7.726871827	1.589004568	0.62543033	2.540657992	0.011064409	0.767777863
DLX3	Group enriched	placenta: 10.7;skin: 21.9	1.32812182	2.53430161	0.998137729	2.539029973	0.01111603	0.767777863
ZMAT3	Mixed		842.3898804	0.472275465	0.186056579	2.538343275	0.011137868	0.767777863
WNT10A	Tissue enhanced	skin: 8.3	8.041300507	1.281607844	0.506240637	2.53161787	0.011353765	0.77479668
