Gene	RNA Tissue Category	RNA TS TPM	BaseMean	log2FoldChange	lfcSE	stat	P value	P value adjusted
WDR54	Tissue enhanced	fallopian tube: 113.2	23.80143055	-0.912548337	0.16663707	-5.476262506	4.34E-08	8.94E-07
CROT	Expressed in all		795.1383278	0.565426204	0.122339899	4.621764524	3.80E-06	4.78E-05
ABCB4	Tissue enriched	liver: 69.3	2804.766793	-0.663010978	0.166029087	-3.993342315	6.51E-05	0.000563104
SOX8	Tissue enriched	cerebral cortex: 109.9	2.731197951	-1.598800427	0.422314646	-3.785803882	0.000153212	0.001172431
PDK2	Expressed in all		868.9694573	0.350005703	0.133137974	2.628894605	0.008566291	0.034151293
ITGA3	Mixed		120.315973	-1.983571953	0.272324275	-7.283860217	3.24E-13	1.98E-11
ASB4	Group enriched	adrenal gland: 50.2;skeletal muscle: 11.5	24.63262266	1.30830567	0.210920937	6.202825044	5.55E-10	1.78E-08
GDE1	Expressed in all		692.0929907	0.249422203	0.065995681	3.779371631	0.000157225	0.001197338
CRLF1	Tissue enhanced	cerebral cortex: 17.2;placenta: 16.8	5.025757414	-3.343420042	0.618147499	-5.408773868	6.35E-08	1.25E-06
OSBPL7	Mixed		25.38111009	-0.844692578	0.182313166	-4.633195713	3.60E-06	4.57E-05
TMEM98	Expressed in all		235.1116629	-0.52540951	0.168254516	-3.122706726	0.001791962	0.00933989
TMEM132A	Tissue enhanced	cerebral cortex: 94.2	25.37504221	-1.95135928	0.24299673	-8.030393158	9.72E-16	9.48E-14
TAC1	Tissue enhanced	cerebral cortex: 77.7;spleen: 47.0	0.915958893	-2.947712567	0.836091755	-3.525585021	0.000422549	0.00275642
TNFRSF12A	Expressed in all		135.747028	-1.980871155	0.377274507	-5.250477086	1.52E-07	2.72E-06
MAP3K9	Mixed		105.9474863	-0.364422293	0.128865789	-2.827921173	0.004685134	0.02090695
RALA	Expressed in all		472.8732006	-0.171255272	0.067656688	-2.531239387	0.011366025	0.042966508
TTC22	Tissue enhanced	esophagus: 40.6	67.25849864	-0.398710911	0.14331572	-2.782045899	0.00540174	0.023475125
USH1C	Tissue enhanced	duodenum: 99.2;small intestine: 106.9	27.2421862	-1.745093574	0.317276789	-5.500224509	3.79E-08	7.93E-07
COX10	Expressed in all		125.1703745	-0.278188605	0.109936271	-2.530453355	0.011391523	0.043036051
VPS41	Expressed in all		786.5585585	-0.438222848	0.093102839	-4.706868803	2.52E-06	3.32E-05
ARHGAP44	Tissue enhanced	parathyroid gland: 51.6	33.62454609	-0.732072442	0.187395834	-3.906556658	9.36E-05	0.000770923
SCIN	Tissue enhanced	placenta: 110.4	2.625310727	-2.797933815	0.685851252	-4.079505299	4.51E-05	0.000407938
ARSD	Mixed		1922.959305	0.831846943	0.132478703	6.279099404	3.41E-10	1.15E-08
PNPLA4	Expressed in all		474.094232	0.840295254	0.137239326	6.122845953	9.19E-10	2.82E-08
PRSS21	Tissue enriched	testis: 49.5	1.623916599	-1.929744922	0.654859532	-2.94680741	0.003210731	0.015270296
PROM1	Tissue enhanced	cervix, uterine: 67.2	175.2927497	-2.082445515	0.274955317	-7.573759758	3.63E-14	2.72E-12
CEACAM21	Tissue enhanced	bone marrow: 11.0	16.47768425	0.69762763	0.259918453	2.684025013	0.007274166	0.029880499
DNAH9	Tissue enriched	fallopian tube: 56.4	0.895896427	-1.955767817	0.74670044	-2.619213425	0.008813279	0.034951243
SLC13A2	Tissue enhanced	duodenum: 68.7;small intestine: 54.3	26.3302335	0.896473719	0.307455782	2.915780976	0.003547995	0.016564185
GAS7	Tissue enhanced	cerebral cortex: 154.7	97.74129334	-0.975383046	0.175071142	-5.571352516	2.53E-08	5.51E-07
TRAPPC6A	Expressed in all		185.8213622	0.672342258	0.182261991	3.688878058	0.000225245	0.001611678
CD79B	Group enriched	appendix: 91.1;lymph node: 311.5;spleen: 157.4;tonsil: 189.1	38.26760885	0.587604681	0.176329216	3.332429507	0.000860913	0.005050837
SCN4A	Group enriched	adipose tissue: 12.4;skeletal muscle: 47.2	16.89778912	-1.514260864	0.240772538	-6.289175989	3.19E-10	1.08E-08
RHBDF1	Mixed		74.17599274	-1.11607271	0.18703209	-5.967279241	2.41E-09	6.71E-08
FMO3	Tissue enriched	liver: 556.7	7285.537958	0.745409088	0.166311261	4.482012132	7.39E-06	8.45E-05
MYLIP	Expressed in all		157.2343956	-0.489696122	0.123132085	-3.976998523	6.98E-05	0.000598655
PSMB1	Expressed in all		1858.339155	0.215965707	0.06139256	3.517783076	0.000435168	0.002826151
CAMK1G	Tissue enhanced	cerebral cortex: 32.3;ovary: 27.7	5.330361103	-1.395997158	0.376069182	-3.712075391	0.000205567	0.001491101
NADK	Expressed in all		1785.470229	0.442992366	0.108218995	4.093480705	4.25E-05	0.000387053
CYTH3	Expressed in all		164.5632982	-1.011440436	0.125650657	-8.049623119	8.30E-16	8.15E-14
ADAM22	Tissue enhanced	cerebral cortex: 47.6	17.01843432	-0.809138205	0.257948505	-3.136820676	0.001707906	0.008978033
SYPL1	Expressed in all		1269.452328	-0.503803443	0.121632897	-4.141999852	3.44E-05	0.000322925
PLEKHG6	Tissue enhanced	small intestine: 47.7	70.33684192	0.438148947	0.174309462	2.513626869	0.011949679	0.044699953
SS18L2	Expressed in all		302.8169044	0.363513086	0.139227834	2.610922517	0.009029835	0.035628417
MPND	Expressed in all		442.41452	0.860982381	0.189991836	4.531680934	5.85E-06	6.90E-05
NFIX	Expressed in all		1284.666278	0.364428635	0.111322481	3.273630207	0.001061755	0.006035683
IL32	Expressed in all		3324.614544	-1.266882822	0.239294952	-5.294231282	1.20E-07	2.19E-06
SEC62	Expressed in all		6360.924944	0.433315816	0.099179984	4.368984547	1.25E-05	0.000133589
TENM1	Mixed		368.080337	0.819842208	0.1865814	4.394018954	1.11E-05	0.000121223
MASP2	Tissue enriched	liver: 105.5	2739.20539	0.312368589	0.10060929	3.104768856	0.001904278	0.009842072
IYD	Tissue enriched	thyroid gland: 794.5	1340.367656	0.415762497	0.1620628	2.565440665	0.010304484	0.039609254
TRAF3IP3	Tissue enhanced	lymph node: 114.8;spleen: 82.5;tonsil: 82.8	81.74357709	-0.490864745	0.155295279	-3.160847817	0.001573107	0.00837301
MLXIPL	Tissue enhanced	adipose tissue: 60.8;duodenum: 58.7	2460.496636	0.978161663	0.153479846	6.373225462	1.85E-10	6.52E-09
CD9	Expressed in all		346.7163572	-0.980004645	0.188655864	-5.194668359	2.05E-07	3.59E-06
SEMA3G	Tissue enhanced	adipose tissue: 82.2	97.21220282	-1.279896388	0.299034638	-4.2800941	1.87E-05	0.000189175
STAB1	Expressed in all		1670.960482	0.632478203	0.149457994	4.231812478	2.32E-05	0.000228226
SLC6A13	Tissue enriched	kidney: 154.0	198.6004051	1.045015353	0.20266622	5.15633711	2.52E-07	4.32E-06
PRSS3	Tissue enriched	pancreas: 6301.2	34.59826491	-1.048947926	0.264509641	-3.965632105	7.32E-05	0.000623831
ZNF200	Tissue enhanced	testis: 31.6	78.20455936	-0.384429577	0.115382636	-3.331780147	0.000862924	0.005060251
CD4	Tissue enhanced	parathyroid gland: 549.0	2017.628147	0.968177799	0.195224608	4.959302045	7.07E-07	1.07E-05
SCMH1	Expressed in all		161.6634125	-0.290089331	0.110121596	-2.634263772	0.008431995	0.033675223
HIVEP2	Expressed in all		228.888993	-0.608590519	0.115908456	-5.250613641	1.52E-07	2.72E-06
CLCN6	Mixed		207.9324918	0.244466409	0.09358256	2.61230734	0.008993337	0.035501289
MRC2	Expressed in all		245.7763054	-0.834126537	0.197949189	-4.213841651	2.51E-05	0.000243559
BTBD7	Mixed		459.3403598	-0.186498002	0.073188972	-2.5481708	0.010828944	0.041274674
ANOS1	Group enriched	cerebral cortex: 32.3;lung: 64.7;parathyroid gland: 48.5;thyroid gland: 15.5	39.74203758	-1.380157706	0.258392505	-5.341322528	9.23E-08	1.74E-06
AKAP8L	Expressed in all		214.8713418	0.450457691	0.13936987	3.232102408	0.00122883	0.006794595
MBTD1	Expressed in all		434.0296836	0.295374878	0.117431114	2.515303381	0.011892999	0.044570209
LARS2	Expressed in all		256.4452245	-0.289608447	0.107531813	-2.693235039	0.007076236	0.02920238
PLAUR	Expressed in all		64.60773305	-1.319170137	0.320586253	-4.114868066	3.87E-05	0.000358098
ANLN	Tissue enhanced	cerebral cortex: 87.2	16.91529747	-1.242355237	0.336343274	-3.693712146	0.000221004	0.001586347
DCN	Expressed in all		6731.622665	-1.374601577	0.154647296	-8.888623413	6.19E-19	1.01E-16
QPCTL	Mixed		129.7268837	0.523555172	0.136417267	3.837895184	0.000124093	0.000980031
CEP68	Expressed in all		200.579951	-0.787070176	0.131148667	-6.001358581	1.96E-09	5.57E-08
TMEM159	Mixed		65.65484261	-1.374641533	0.204383404	-6.725798224	1.75E-11	7.61E-10
ALOX5	Tissue enhanced	lung: 41.3	100.4523026	-0.675098474	0.179965491	-3.751266254	0.000175944	0.001311308
MAP4K5	Expressed in all		282.1522049	-0.278164091	0.107964555	-2.576439019	0.009982381	0.038610196
EHD3	Tissue enhanced	cerebral cortex: 64.2	374.2721486	1.252620125	0.191118002	6.554171293	5.60E-11	2.18E-09
CLDN11	Tissue enhanced	cerebral cortex: 89.0;testis: 183.6	82.15502057	-2.089985758	0.257075534	-8.129850884	4.30E-16	4.46E-14
MVP	Expressed in all		828.8824843	-0.435089528	0.167461954	-2.598139561	0.009373039	0.03677854
HEBP1	Expressed in all		1326.311887	0.426183503	0.08376051	5.088119742	3.62E-07	5.91E-06
MAMLD1	Tissue enhanced	testis: 18.7	85.06790136	0.58038615	0.159106143	3.647792218	0.000264503	0.001850557
CD6	Tissue enhanced	appendix: 28.5;lymph node: 49.2	36.49568948	-0.884491804	0.318175898	-2.779883111	0.005437847	0.023611429
POLA2	Mixed		66.54707271	0.354418781	0.120419801	2.943193547	0.003248453	0.015429065
ACPP	Tissue enriched	prostate: 6030.6	7.484888708	-0.791850385	0.303634458	-2.607906855	0.009109774	0.035909676
MTMR11	Mixed		41.42314147	-1.641253878	0.300604774	-5.459839705	4.77E-08	9.68E-07
DPEP1	Tissue enhanced	kidney: 262.6;small intestine: 418.9	4.591220027	-3.671942217	0.463657987	-7.919506018	2.38E-15	2.17E-13
BID	Expressed in all		492.6799324	0.204529941	0.067824977	3.015554896	0.002565095	0.012624142
NPC1L1	Tissue enhanced	duodenum: 57.1;small intestine: 57.9	958.0755905	1.063671132	0.158861105	6.695604526	2.15E-11	9.06E-10
RGPD5	Tissue enhanced	testis: 6.6	241.9318236	0.476797235	0.178153566	2.676327198	0.007443394	0.03043502
IL20RA	Tissue enhanced	skin: 45.0	30.25536036	-1.727981522	0.308338149	-5.604176873	2.09E-08	4.63E-07
RALBP1	Expressed in all		869.9631862	-0.208551812	0.068029325	-3.06561637	0.002172218	0.011020587
WWTR1	Mixed		1195.602718	-0.462880755	0.116690537	-3.966737732	7.29E-05	0.000622223
TTC27	Expressed in all		145.402559	-0.374941234	0.102712796	-3.65038485	0.000261848	0.001832492
VSIG2	Tissue enhanced	stomach: 583.7	39.54024507	-2.50659363	0.373785439	-6.705969164	2.00E-11	8.54E-10
PHLDB1	Mixed		96.412232	-1.343616865	0.239655213	-5.606457901	2.07E-08	4.58E-07
MARCO	Tissue enhanced	appendix: 123.2;lung: 288.2	1315.68632	1.406333672	0.317653906	4.427251316	9.54E-06	0.000105922
SYT13	Tissue enhanced	cerebral cortex: 69.9;gallbladder: 32.9	41.84143685	-2.542495123	0.317531117	-8.007073905	1.17E-15	1.12E-13
SNAI2	Mixed		140.7607972	-0.496271455	0.170911998	-2.903666565	0.003688207	0.01710012
HGF	Tissue enriched	placenta: 438.8	788.037548	-1.439596042	0.198081363	-7.267700598	3.66E-13	2.21E-11
ZRANB1	Expressed in all		1097.278862	0.364187047	0.088594119	4.110736132	3.94E-05	0.000363297
ADGRA2	Expressed in all		249.4761472	-1.279346148	0.17660437	-7.244136431	4.35E-13	2.59E-11
SAMD4A	Tissue enhanced	testis: 102.6	253.4292089	0.603004523	0.129570311	4.653878786	3.26E-06	4.17E-05
PLEKHB1	Group enriched	cerebral cortex: 494.8;parathyroid gland: 148.4	36.39696227	-1.705652304	0.262418374	-6.49974421	8.05E-11	3.04E-09
SERPINB1	Expressed in all		346.5938257	-0.426717391	0.1334356	-3.197927631	0.00138419	0.007520001
CYP3A43	Tissue enriched	liver: 22.7	148.5053466	1.17922725	0.280104919	4.209948375	2.55E-05	0.000246928
NRXN3	Tissue enhanced	cerebral cortex: 43.0;smooth muscle: 28.9	16.78274698	-1.060920868	0.268321238	-3.953920595	7.69E-05	0.000650374
OSBPL5	Mixed		55.99235292	-0.650364108	0.189952768	-3.423820125	0.000617475	0.003814094
CPS1	Group enriched	duodenum: 234.5;liver: 697.8;small intestine: 144.1	20777.79371	-0.503614664	0.166189309	-3.030367398	0.002442564	0.012114515
SLC45A4	Mixed		51.83310904	-1.332482693	0.202185725	-6.590389558	4.39E-11	1.74E-09
GRAMD1B	Tissue enhanced	adrenal gland: 135.1	100.4432644	-1.760221345	0.245507092	-7.169737252	7.51E-13	4.32E-11
BIRC3	Tissue enhanced	lymph node: 138.1	528.4230124	-1.826678361	0.207588246	-8.799526927	1.37E-18	2.16E-16
AKAP11	Expressed in all		810.2696761	-0.393030484	0.123736918	-3.176339697	0.001491462	0.008006677
GCLM	Expressed in all		1374.6796	-0.368604416	0.146550151	-2.515210066	0.011896148	0.044571163
EHD2	Tissue enhanced	adipose tissue: 208.8	245.3569263	-1.254406495	0.186406121	-6.729427592	1.70E-11	7.45E-10
HSD17B6	Tissue enriched	liver: 930.6	19104.88173	0.903294209	0.147028255	6.143677689	8.06E-10	2.51E-08
NR1H3	Expressed in all		755.3351051	0.580852852	0.10471578	5.546946717	2.91E-08	6.24E-07
VIM	Expressed in all		3823.936218	-1.489134618	0.152345853	-9.77469746	1.45E-22	5.14E-20
FAS	Mixed		351.8364914	-0.739239491	0.137253881	-5.385927768	7.21E-08	1.40E-06
CD44	Expressed in all		693.4105369	-0.521010312	0.203120671	-2.56502851	0.010316733	0.039650213
AGPAT4	Tissue enhanced	cerebral cortex: 24.7	25.97035701	-1.128469338	0.237624721	-4.748955983	2.04E-06	2.76E-05
SLAMF7	Mixed		127.0551617	-0.694580408	0.219539763	-3.163802309	0.001557225	0.008299076
SH2D2A	Tissue enhanced	appendix: 15.0	16.69036088	-0.934185284	0.277399064	-3.367658393	0.000758095	0.004547575
TNFRSF1B	Tissue enhanced	appendix: 100.4	605.8058509	-0.387641824	0.14977338	-2.588189056	0.009648201	0.03760925
ARNTL2	Tissue enhanced	esophagus: 31.2	80.71027822	-1.694694737	0.221014356	-7.667803868	1.75E-14	1.39E-12
HMGB3	Expressed in all		530.5373616	-0.342129589	0.131798984	-2.595843894	0.009435892	0.036955266
IKZF2	Mixed		97.29751023	-0.510254597	0.19446236	-2.623924738	0.008692299	0.03455404
ARHGAP31	Mixed		178.7850182	-0.514461513	0.147002377	-3.499681597	0.000465814	0.002992407
ARID4A	Expressed in all		986.0352404	0.400893431	0.101466469	3.950994195	7.78E-05	0.000656507
LRRC7	Tissue enhanced	cerebral cortex: 14.4	23.23921782	-1.237754674	0.220501718	-5.613356154	1.98E-08	4.43E-07
GAB2	Expressed in all		136.2064069	-0.526876055	0.12522975	-4.207275479	2.58E-05	0.000249672
ATP6V0A1	Expressed in all		642.8142782	-0.258438158	0.091477548	-2.825153969	0.00472579	0.021046567
SLC4A7	Tissue enhanced	duodenum: 57.7	240.6276617	-0.688984998	0.18378463	-3.748871696	0.000177632	0.001321911
TMSB10	Expressed in all		2107.517532	-0.684964135	0.146917579	-4.662234024	3.13E-06	4.03E-05
ASTE1	Mixed		94.09955986	0.319158142	0.115076193	2.773450651	0.005546525	0.023945482
RNF19A	Expressed in all		725.3963658	-0.559255131	0.117050463	-4.777897637	1.77E-06	2.43E-05
SH3YL1	Expressed in all		187.2089774	-1.402379078	0.187542641	-7.477654539	7.57E-14	5.31E-12
VCL	Expressed in all		364.7184687	-0.98187231	0.203716476	-4.819798217	1.44E-06	2.02E-05
DEPDC1B	Tissue enhanced	gallbladder: 33.0;testis: 22.6	14.16482274	-1.229760255	0.338198983	-3.636203294	0.000276686	0.001921212
NSMAF	Expressed in all		150.5926277	-0.495182182	0.105997433	-4.671643152	2.99E-06	3.87E-05
TIMP2	Expressed in all		2124.353828	-0.893082181	0.138492672	-6.448588007	1.13E-10	4.13E-09
MYOM2	Group enriched	heart muscle: 197.4;skeletal muscle: 110.2	72.33050025	0.771322814	0.183200462	4.210266761	2.55E-05	0.000246776
CYP46A1	Tissue enriched	cerebral cortex: 64.1	20.38304483	1.1714691	0.221373229	5.291828214	1.21E-07	2.21E-06
ZZZ3	Expressed in all		623.9173521	0.211377655	0.077654474	2.722028019	0.006488264	0.02725487
CASR	Tissue enriched	parathyroid gland: 1441.4	16.19882352	-1.655566084	0.529537604	-3.126437238	0.001769383	0.009251259
MFAP3	Expressed in all		3.195883867	-1.214637954	0.437539011	-2.776067787	0.005502074	0.023807251
MRI1	Expressed in all		419.9134235	0.30224953	0.109476465	2.760863069	0.005764884	0.024722915
AGA	Expressed in all		292.8435452	-0.54062882	0.093877125	-5.758898326	8.47E-09	2.08E-07
TLL1	Tissue enhanced	placenta: 10.5	12.31660626	-1.104562282	0.322488891	-3.425117311	0.000614534	0.003799701
VCAN	Tissue enhanced	appendix: 105.5;placenta: 104.6	282.3535117	-2.574032269	0.233675413	-11.01541763	3.22E-28	2.67E-25
PHF23	Expressed in all		301.6834577	0.324769568	0.117520109	2.763523366	0.0057181	0.024554193
INPP4A	Expressed in all		193.248195	-0.452979602	0.172441622	-2.626857693	0.008617737	0.034306943
THAP3	Expressed in all		129.1095131	0.568943538	0.214467571	2.652818493	0.007982278	0.032157768
TDP1	Mixed		94.21770401	-0.270668487	0.102516058	-2.640254525	0.008284378	0.033202871
SPATA7	Tissue enriched	testis: 102.9	87.91200301	-0.345373577	0.129098986	-2.675261735	0.007467093	0.030506868
CAPG	Expressed in all		96.51497125	-2.00542749	0.282039366	-7.110452412	1.16E-12	6.29E-11
AP2S1	Expressed in all		827.0510788	0.283363294	0.108075614	2.621898539	0.008744146	0.034721331
USH2A	Tissue enhanced	liver: 3.6;testis: 1.0	908.7405018	2.315075896	0.32741131	7.070848879	1.54E-12	8.16E-11
ADAM28	Tissue enhanced	epididymis: 435.5	40.90477555	-1.80558932	0.26654067	-6.774160655	1.25E-11	5.62E-10
ADRB1	Tissue enhanced	placenta: 45.4	21.97813036	-0.926197171	0.27916103	-3.317788202	0.000907333	0.005283856
CTNNA1	Expressed in all		1972.931058	-0.436023933	0.083043566	-5.250544427	1.52E-07	2.72E-06
PHKA2	Expressed in all		896.0874447	-0.281017132	0.099553123	-2.822785699	0.004760838	0.021162776
CNTLN	Mixed		222.7064345	0.678235693	0.191468905	3.542275926	0.00039669	0.002616537
EPHA3	Tissue enhanced	prostate: 51.9	322.6365877	-2.070681703	0.215051422	-9.62877474	6.04E-22	1.88E-19
DSG2	Tissue enhanced	parathyroid gland: 251.3	904.5620032	-0.793629588	0.118089743	-6.720563284	1.81E-11	7.87E-10
FAM214A	Expressed in all		779.7524436	0.279897936	0.102302547	2.735982079	0.006219441	0.026334505
ARAP2	Mixed		288.5620732	-0.443916743	0.129368609	-3.431410047	0.000600452	0.003723024
KIAA0556	Tissue enhanced	fallopian tube: 47.6	104.4699679	-0.640833587	0.104696547	-6.12086647	9.31E-10	2.85E-08
DTNBP1	Expressed in all		76.37019744	-0.388285843	0.11354333	-3.419715117	0.000626867	0.003869232
ANO2	Tissue enhanced	testis: 17.8	1.077775071	-3.391190111	0.62961022	-5.386173864	7.20E-08	1.40E-06
C12orf4	Mixed		121.839789	-0.367056196	0.124451844	-2.949383345	0.003184088	0.015166761
WWC3	Expressed in all		218.4067911	-0.488330982	0.106626876	-4.579811391	4.65E-06	5.65E-05
ARHGAP6	Tissue enhanced	prostate: 44.3;seminal vesicle: 43.3	40.60780101	-0.999061979	0.182406057	-5.477131592	4.32E-08	8.90E-07
MAP4	Expressed in all		1162.607517	-0.385683112	0.105360908	-3.660590233	0.000251635	0.001771478
CC2D2A	Tissue enhanced	fallopian tube: 53.9	66.41991316	-0.51026929	0.157803938	-3.233564996	0.001222555	0.00676591
RRM2B	Expressed in all		664.0732607	-0.498511896	0.137274074	-3.631507996	0.00028177	0.0019527
COL9A2	Tissue enhanced	parathyroid gland: 53.4	13.41893803	-1.37842047	0.298326662	-4.620507125	3.83E-06	4.80E-05
KITLG	Mixed		119.6918581	-0.716244293	0.168882076	-4.241091251	2.22E-05	0.000220338
VAMP3	Expressed in all		830.3204685	-0.207364919	0.083177722	-2.493034367	0.012665659	0.04687096
RCN1	Expressed in all		1980.020114	0.322890169	0.086845112	3.718000509	0.000200806	0.001465077
CLPTM1L	Expressed in all		1247.809944	0.759763718	0.142569649	5.329070543	9.87E-08	1.84E-06
NEDD4L	Expressed in all		330.301183	-1.005300028	0.147261509	-6.826631326	8.69E-12	4.11E-10
FOXP3	Tissue enhanced	appendix: 8.7	26.23174219	-1.9210081	0.315550231	-6.087804455	1.14E-09	3.44E-08
HEXB	Expressed in all		1543.391373	-0.665724806	0.100700402	-6.610944891	3.82E-11	1.53E-09
DKK3	Tissue enhanced	cerebral cortex: 373.5;heart muscle: 805.5	117.435619	-2.001141624	0.253366985	-7.898194093	2.83E-15	2.52E-13
ARHGEF5	Mixed		144.1449061	-0.608590697	0.16203869	-3.755835697	0.000172764	0.001292252
NFE2L3	Tissue enhanced	placenta: 50.3	44.37923142	-1.130107046	0.240806845	-4.693002173	2.69E-06	3.53E-05
MCUR1	Expressed in all		324.5913821	0.256813822	0.092563438	2.774462878	0.005529294	0.023895959
LIMA1	Expressed in all		447.6722296	-0.483434133	0.096511512	-5.009082558	5.47E-07	8.54E-06
LAMC3	Tissue enhanced	placenta: 88.7	199.3389108	-2.966337647	0.302951474	-9.791461337	1.23E-22	4.42E-20
PTGER3	Group enriched	adipose tissue: 58.6;endometrium: 115.3;kidney: 88.3;smooth muscle: 105.2	13.19923778	-0.931048333	0.275686155	-3.377203808	0.000732268	0.004417921
COL23A1	Tissue enhanced	thyroid gland: 57.8	8.678546871	-0.664647736	0.264758339	-2.510393966	0.012059653	0.045021139
PIK3CB	Expressed in all		403.637028	-0.404100377	0.114088784	-3.541981646	0.000397133	0.002617377
MPHOSPH9	Mixed		282.6619896	0.3228911	0.107986801	2.99009785	0.002788881	0.013546071
FNIP2	Expressed in all		1682.303771	0.998791992	0.166570717	5.99620395	2.02E-09	5.72E-08
MSMO1	Expressed in all		9831.015775	0.905645996	0.211871556	4.274504868	1.92E-05	0.000193608
FOXN3	Expressed in all		1866.810485	0.371493429	0.086465184	4.296451037	1.74E-05	0.000178303
METTL24	Tissue enhanced	smooth muscle: 20.5	8.391859287	-1.575540012	0.371676738	-4.239006244	2.25E-05	0.000221864
LAMA3	Mixed		70.20447329	-0.911109413	0.205862572	-4.425813804	9.61E-06	0.000106487
KCNQ1	Tissue enhanced	adrenal gland: 133.6;thyroid gland: 102.7	60.75234028	-0.779486195	0.179385096	-4.345323076	1.39E-05	0.000146815
LY75	Mixed		132.5996927	-0.950954576	0.248440168	-3.827700582	0.000129346	0.001014113
OPN3	Tissue enhanced	placenta: 26.9	304.7352723	-0.583156619	0.140646443	-4.146259272	3.38E-05	0.000317396
HHAT	Mixed		80.36881972	-0.391843986	0.125249286	-3.128512719	0.001756934	0.009191963
FOXC1	Tissue enhanced	salivary gland: 66.2	31.85399172	-1.896000329	0.261355698	-7.254482473	4.03E-13	2.42E-11
PLEKHH1	Tissue enhanced	cerebral cortex: 43.3;thyroid gland: 51.2	38.61822466	-0.571444397	0.191097191	-2.990333845	0.002786727	0.01353825
ATP9A	Expressed in all		674.7732967	-0.673368447	0.12382614	-5.438015311	5.39E-08	1.08E-06
CBLN4	Tissue enhanced	adrenal gland: 24.5;cerebral cortex: 15.6;epididymis: 11.2	33.67306395	1.691671133	0.307073304	5.509014004	3.61E-08	7.59E-07
CHRDL2	Group enriched	appendix: 157.7;endometrium: 128.3;gallbladder: 168.5;smooth muscle: 183.1;urinary bladder: 43.5	30.43237073	-1.0393256	0.261415704	-3.975758087	7.02E-05	0.00060137
MCOLN3	Tissue enhanced	adrenal gland: 57.8;parathyroid gland: 42.8	9.464317584	-2.431091815	0.410704972	-5.919314296	3.23E-09	8.79E-08
CCDC85A	Tissue enhanced	cerebral cortex: 21.0	7.665596135	-0.941856933	0.348821152	-2.700114164	0.006931569	0.028686207
ITIH1	Tissue enriched	liver: 786.3	25124.52228	0.614181173	0.143544666	4.278676375	1.88E-05	0.000190247
