Gene	RNA Tissue Category	RNA TS TPM	BaseMean	log2FoldChange	lfcSE	stat	P_value	P value adjusted
CFLAR	Expressed in all		651.2058808	-0.147156916	0.080121542	-1.836671046	0.066258472	0.170848575
TFPI	Expressed in all		6281.895621	0.068706595	0.114164115	0.601823041	0.547291936	0.720222995
NDUFAF7	Tissue enriched	testis: 69.1	182.2015315	0.29805896	0.093126085	3.200595846	0.001371437	0.007462119
RBM5	Expressed in all		351.1556733	-0.107627175	0.143880677	-0.748030778	0.454441593	0.643665125
MTMR7	Tissue enhanced	cerebral cortex: 22.9;parathyroid gland: 15.2	25.57450097	-0.32542459	0.164407503	-1.979377967	0.047773467	0.133455832
SLC7A2	Tissue enhanced	parathyroid gland: 380.7	10716.60057	-0.581242405	0.151260424	-3.84266015	0.000121708	0.000965172
ARF5	Expressed in all		812.450972	0.134288603	0.12031871	1.116107405	0.264376163	0.453428013
SARM1	Mixed		3.017473547	0.291012504	0.721731054	0.403214608	0.686790354	0.820588367
POLDIP2	Expressed in all		926.3125961	0.410007346	0.159174272	2.575839307	0.009999711	0.038646607
PLXND1	Expressed in all		784.5044624	-0.279639568	0.141374227	-1.978009525	0.047927632	0.133751407
AK2	Expressed in all		1837.239115	0.225308953	0.057397425	3.925419194	8.66E-05	0.000721771
CD38	Mixed		57.40782179	0.537425145	0.272791706	1.970093423	0.048827665	0.1356094
FKBP4	Expressed in all		1134.229437	0.621172048	0.125254204	4.959291003	7.08E-07	1.07E-05
KDM1A	Expressed in all		328.3902665	-0.056686098	0.088701374	-0.63906674	0.522779516	0.701215545
RBM6	Expressed in all		553.5590478	0.250773382	0.162371082	1.544446091	0.122480302	0.267002552
CAMKK1	Tissue enhanced	cerebral cortex: 51.5	22.00198446	-0.429839332	0.221003308	-1.944945235	0.05178157	0.141733887
RECQL	Expressed in all		401.5567362	-0.31384738	0.128531323	-2.441796846	0.014614368	0.0525944
VPS50	Expressed in all		168.8683226	-0.256003811	0.150831276	-1.697285987	0.089642605	0.213333974
HSPB6	Tissue enhanced	skeletal muscle: 843.0	152.3542354	-2.258456898	0.473481732	-4.769892365	1.84E-06	2.52E-05
ARHGAP33	Mixed		32.12321392	0.035140214	0.238876664	0.147106099	0.883048276	0.940984891
NDUFAB1	Expressed in all		1152.189191	0.251196391	0.111969063	2.243444623	0.024868157	0.080261712
PDK4	Expressed in all		2609.230755	0.381094863	0.274298524	1.389343468	0.164728332	0.328414413
SLC22A16	Group enriched	bone marrow: 12.9;parathyroid gland: 16.3;testis: 38.6	0.713734467	-0.778250481	0.939580209	-0.828295949	0.407502916	0.600981699
ZMYND10	Group enriched	fallopian tube: 231.5;testis: 284.6	5.25418625	-0.406645099	0.30783136	-1.320999587	0.186501502	0.359161333
ABCB5	Tissue enriched	epididymis: 32.3	0.846496447	-0.977014749	0.720263196	-1.356469071	0.17494997	0.342672877
ARX	Tissue enriched	ovary: 97.7	2.944583074	-0.370634261	0.6778072	-0.546813697	0.584506732	0.7484767
SLC25A13	Expressed in all		2744.807067	0.517023165	0.103822253	4.979887748	6.36E-07	9.78E-06
ST7	Expressed in all		580.0587106	0.265102516	0.082051779	3.230917324	0.001233936	0.006821314
CDC27	Expressed in all		687.2705173	-0.14657543	0.090593717	-1.61794255	0.105674979	0.239872453
SLC4A1	Tissue enriched	bone marrow: 238.0	23.98945536	1.040184424	0.432366025	2.40579593	0.016137276	0.056795739
CALCR	Tissue enhanced	kidney: 2.1;testis: 1.4	1.73705225	0.292337074	0.456946355	0.63976235	0.522327113	0.700856448
HCCS	Expressed in all		258.4349727	-0.473965605	0.095471183	-4.96448864	6.89E-07	1.05E-05
DVL2	Expressed in all		141.8002666	-0.085088397	0.103837824	-0.819435479	0.412538	0.606037676
PRSS22	Tissue enhanced	esophagus: 7.7;stomach: 11.1	7.711899364	-2.046848932	0.409117177	-5.003087248	5.64E-07	8.79E-06
UPF1	Expressed in all		1007.232793	0.049778746	0.088113425	0.564939409	0.572114978	0.739124558
SKAP2	Expressed in all		444.4359051	-0.239347681	0.131021264	-1.826785018	0.067732099	0.173426779
SLC25A5	Expressed in all		2991.614508	0.189436992	0.096593927	1.961168753	0.049859341	0.13779822
MCUB	Mixed		60.46363214	-1.040278627	0.182890811	-5.687976441	1.29E-08	3.01E-07
HOXA11	Tissue enhanced	endometrium: 96.3;smooth muscle: 68.5	0	NA	NA	NA	NA	NA
POLR2J	Expressed in all		420.3201977	0.400254764	0.117353541	3.410674795	0.000648023	0.003979093
DHX33	Expressed in all		370.7660032	0.188604196	0.108199216	1.7431198	0.081312691	0.198618111
MEOX1	Tissue enhanced	adipose tissue: 25.3	3.934390173	-1.593624058	0.490889874	-3.246398313	0.001168752	0.006514497
THSD7A	Mixed		4.168306287	-0.257778234	0.690766856	-0.3731769	0.709016788	0.834081579
LIG3	Expressed in all		154.4158672	0.154652155	0.097074636	1.593126303	0.11113186	0.248688007
RPAP3	Expressed in all		226.9411933	-0.228395602	0.116515026	-1.960224439	0.049969563	0.138041542
ACSM3	Tissue enhanced	liver: 93.2	1915.580549	0.866022739	0.169619303	5.105685046	3.30E-07	5.47E-06
AC004381.6	Tissue enriched	testis: 618.5	19.90442817	-0.140639389	0.278279	-0.505389874	0.613285029	0.769675031
CIAPIN1	Expressed in all		237.6501955	-0.174574486	0.104875724	-1.664584326	0.095995715	0.223642613
FAM214B	Expressed in all		137.2011911	0.101186911	0.0938939	1.0776729	0.281179757	0.472644338
PRKAR2B	Tissue enhanced	adipose tissue: 139.4	13.09524513	0.071080711	1.055555479	0.067339626	0.946311331	0.974108393
MSL3	Expressed in all		242.6608873	-0.152802981	0.10052266	-1.520084934	0.128489631	0.27635151
CREBBP	Expressed in all		330.1631665	-0.096354342	0.156357776	-0.616242725	0.537734334	0.713119588
TSPOAP1	Expressed in all		82.56246187	0.425067969	0.270422244	1.571867619	0.115981256	0.256450648
MPO	Tissue enriched	bone marrow: 2499.6	10.36916734	-0.098372435	0.466220668	-0.210999731	0.832887482	0.910423224
PON1	Tissue enriched	liver: 233.6	10810.4251	0.612319514	0.162970083	3.757251047	0.00017179	0.001286514
GCFC2	Expressed in all		470.4356239	0.312503147	0.094126795	3.320023249	0.0009001	0.005247348
WDR54	Tissue enhanced	fallopian tube: 113.2	23.80143055	-0.912548337	0.16663707	-5.476262506	4.34E-08	8.94E-07
CROT	Expressed in all		795.1383278	0.565426204	0.122339899	4.621764524	3.80E-06	4.78E-05
ABCB4	Tissue enriched	liver: 69.3	2804.766793	-0.663010978	0.166029087	-3.993342315	6.51E-05	0.000563104
KMT2E	Expressed in all		666.6037732	-0.16867124	0.097916377	-1.722604997	0.084959981	0.20513509
RHBDD2	Expressed in all		653.3506538	-0.249122984	0.125045572	-1.992257537	0.046342808	0.130499041
SOX8	Tissue enriched	cerebral cortex: 109.9	2.731197951	-1.598800427	0.422314646	-3.785803882	0.000153212	0.001172431
IBTK	Expressed in all		2139.444788	0.169939089	0.107551695	1.580068911	0.114091086	0.253441853
ZNF195	Expressed in all		144.035806	-0.070666156	0.121647978	-0.580906957	0.561303163	0.731239253
MYCBP2	Expressed in all		758.2572762	-0.036669913	0.10567757	-0.346998071	0.728592768	0.847002277
FBXL3	Expressed in all		950.2560351	-0.026387491	0.12861848	-0.20516096	0.83744637	0.913601214
ITGAL	Tissue enhanced	lymph node: 79.0;spleen: 80.9	325.2353533	-0.189860627	0.135596674	-1.400186462	0.161457489	0.323682151
PDK2	Expressed in all		868.9694573	0.350005703	0.133137974	2.628894605	0.008566291	0.034151293
ITGA3	Mixed		120.315973	-1.983571953	0.272324275	-7.283860217	3.24E-13	1.98E-11
ZFX	Expressed in all		604.4178084	0.352646398	0.168068831	2.098226042	0.035885182	0.106929595
LAMP2	Expressed in all		4886.50567	-0.15489818	0.10929327	-1.417270986	0.156403715	0.31675493
ITGA2B	Tissue enhanced	bone marrow: 11.2;epididymis: 29.3	1.514517359	0.700181246	1.658853519	0.422087447	0.67296119	0.811330818
ASB4	Group enriched	adrenal gland: 50.2;skeletal muscle: 11.5	24.63262266	1.30830567	0.210920937	6.202825044	5.55E-10	1.78E-08
GDE1	Expressed in all		692.0929907	0.249422203	0.065995681	3.779371631	0.000157225	0.001197338
C19orf60	Mixed		289.3124306	0.464459034	0.236349603	1.965135661	0.049398538	0.136889437
CRLF1	Tissue enhanced	cerebral cortex: 17.2;placenta: 16.8	5.025757414	-3.343420042	0.618147499	-5.408773868	6.35E-08	1.25E-06
OSBPL7	Mixed		25.38111009	-0.844692578	0.182313166	-4.633195713	3.60E-06	4.57E-05
TMEM98	Expressed in all		235.1116629	-0.52540951	0.168254516	-3.122706726	0.001791962	0.00933989
YBX2	Tissue enriched	testis: 385.4	9.409181107	0.418850895	0.316310399	1.324176811	0.18544433	0.357661676
KRT33A	Group enriched	esophagus: 1.4;testis: 1.6	0	NA	NA	NA	NA	NA
MAP3K14	Expressed in all		161.6621134	0.062570293	0.151339369	0.413443594	0.679281641	0.815506124
ABCC8	Tissue enhanced	cerebral cortex: 11.3	0.78476645	0.114349921	0.80688714	0.141717367	0.887303257	0.943271266
CACNG3	Tissue enriched	cerebral cortex: 42.5	0.174593339	-0.9538797	2.018688822	-0.472524388	0.636552538	NA
TMEM132A	Tissue enhanced	cerebral cortex: 94.2	25.37504221	-1.95135928	0.24299673	-8.030393158	9.72E-16	9.48E-14
TAC1	Tissue enhanced	cerebral cortex: 77.7;spleen: 47.0	0.915958893	-2.947712567	0.836091755	-3.525585021	0.000422549	0.00275642
ZNF263	Expressed in all		197.2293725	0.003203985	0.083088223	0.038561244	0.969240203	0.98507486
CX3CL1	Tissue enhanced	cerebral cortex: 100.1	372.8774552	-0.237308143	0.148756497	-1.595279185	0.110649818	0.247876703
SPATA20	Expressed in all		191.0716844	-0.310594546	0.235952147	-1.3163455	0.188058106	0.361325288
CACNA1G	Tissue enhanced	"cerebral cortex: 10.5;cervix, uterine: 8.5"	0.513107749	0.677893904	0.934423957	0.725467171	0.468165478	0.656972955
TNFRSF12A	Expressed in all		135.747028	-1.980871155	0.377274507	-5.250477086	1.52E-07	2.72E-06
DLX6	Tissue enhanced	endometrium: 4.4;placenta: 4.3;testis: 5.4	0.68008645	-1.067634797	0.822499761	-1.298036606	0.194274757	0.369363898
MAP3K9	Mixed		105.9474863	-0.364422293	0.128865789	-2.827921173	0.004685134	0.02090695
RALA	Expressed in all		472.8732006	-0.171255272	0.067656688	-2.531239387	0.011366025	0.042966508
BAIAP2L1	Mixed		477.0818081	-0.286684256	0.122129785	-2.347373784	0.018906277	0.064710471
KDM7A	Mixed		430.1328107	-0.017660213	0.111760768	-0.158017997	0.874442617	0.935632928
ETV1	Tissue enhanced	cerebral cortex: 106.3	202.9828822	0.204108696	0.153169167	1.332570386	0.182672829	0.353882358
AGK	Expressed in all		240.5220031	-0.016413981	0.090152451	-0.182069159	0.855528452	0.924675536
ALDH3B1	Tissue enhanced	fallopian tube: 64.4;lung: 67.7	35.09549398	0.517376451	0.634266564	0.815708222	0.414667035	0.608124574
TTC22	Tissue enhanced	esophagus: 40.6	67.25849864	-0.398710911	0.14331572	-2.782045899	0.00540174	0.023475125
PHTF2	Mixed		230.1191767	-0.200316758	0.147291039	-1.360006422	0.173827892	0.341280677
CCL26	Tissue enhanced	ovary: 12.0	0.627538096	-1.691697874	0.710081434	-2.382399812	0.017200212	0.059933492
FARP2	Expressed in all		253.6792827	0.233853253	0.102641412	2.278351864	0.022705622	0.074654741
USH1C	Tissue enhanced	duodenum: 99.2;small intestine: 106.9	27.2421862	-1.745093574	0.317276789	-5.500224509	3.79E-08	7.93E-07
GGCT	Expressed in all		289.7897896	-0.027925296	0.092833807	-0.30080955	0.763559725	0.87009875
DBF4	Tissue enriched	testis: 21.4	62.35065963	-0.064689123	0.147618533	-0.438218166	0.661228141	0.803457734
TBXA2R	Mixed		119.6086641	0.277483921	0.163155185	1.700736153	0.088992543	0.212335031
IFRD1	Expressed in all		278.0469544	-0.14077236	0.153230601	-0.918696131	0.358254534	0.553369658
LGALS14	Tissue enriched	placenta: 69.0	0	NA	NA	NA	NA	NA
COX10	Expressed in all		125.1703745	-0.278188605	0.109936271	-2.530453355	0.011391523	0.043036051
GTF2IRD1	Mixed		73.67240118	0.381726101	0.158213067	2.412734356	0.015833355	0.055977801
PAF1	Expressed in all		346.0177761	0.127341271	0.143196733	0.889274976	0.373855317	0.568481343
VPS41	Expressed in all		786.5585585	-0.438222848	0.093102839	-4.706868803	2.52E-06	3.32E-05
ARHGAP44	Tissue enhanced	parathyroid gland: 51.6	33.62454609	-0.732072442	0.187395834	-3.906556658	9.36E-05	0.000770923
ELAC2	Expressed in all		555.4383576	0.046761552	0.075383032	0.620319331	0.53504757	0.711022347
SCIN	Tissue enhanced	placenta: 110.4	2.625310727	-2.797933815	0.685851252	-4.079505299	4.51E-05	0.000407938
ARSD	Mixed		1922.959305	0.831846943	0.132478703	6.279099404	3.41E-10	1.15E-08
PNPLA4	Expressed in all		474.094232	0.840295254	0.137239326	6.122845953	9.19E-10	2.82E-08
MYH13	Not detected		0.191375738	-1.492543871	1.949599605	-0.765564307	0.443935589	NA
ADIPOR2	Expressed in all		2648.890554	0.201968124	0.090467707	2.232488588	0.025582689	0.081949539
CDKL3	Tissue enriched	testis: 28.9	12.09082118	0.400013972	0.222352217	1.799010495	0.072017021	0.181504474
UPP2	Group enriched	kidney: 52.2;liver: 14.3	143.2343181	0.825615488	0.507034271	1.628322848	0.103456447	0.236096566
PRSS21	Tissue enriched	testis: 49.5	1.623916599	-1.929744922	0.654859532	-2.94680741	0.003210731	0.015270296
MARK4	Expressed in all		159.4710554	-0.011695979	0.12144141	-0.096309645	0.923274651	0.96290984
PROM1	Tissue enhanced	"cervix, uterine: 67.2"	175.2927497	-2.082445515	0.274955317	-7.573759758	3.63E-14	2.72E-12
CCDC124	Expressed in all		219.6480573	0.263514625	0.186443988	1.413371531	0.157546512	0.318380039
CEACAM21	Tissue enhanced	bone marrow: 11.0	16.47768425	0.69762763	0.259918453	2.684025013	0.007274166	0.029880499
PAFAH1B1	Expressed in all		1304.834959	-0.178180094	0.073532807	-2.423137391	0.015387106	0.054721939
NOS2	Group enriched	appendix: 18.9;colon: 7.0;duodenum: 12.3;rectum: 9.8;small intestine: 24.1;urinary bladder: 6.5	1.559809585	-2.093200282	1.567353471	-1.335499822	0.181712813	0.352480095
DNAH9	Tissue enriched	fallopian tube: 56.4	0.895896427	-1.955767817	0.74670044	-2.619213425	0.008813279	0.034951243
KIAA0100	Expressed in all		571.8379576	-0.034394434	0.191473827	-0.179629952	0.857443089	0.925716116
SLC13A2	Tissue enhanced	duodenum: 68.7;small intestine: 54.3	26.3302335	0.896473719	0.307455782	2.915780976	0.003547995	0.016564185
GAS7	Tissue enhanced	cerebral cortex: 154.7	97.74129334	-0.975383046	0.175071142	-5.571352516	2.53E-08	5.51E-07
TRAPPC6A	Expressed in all		185.8213622	0.672342258	0.182261991	3.688878058	0.000225245	0.001611678
MATK	Tissue enhanced	cerebral cortex: 22.0	40.05061004	0.17236988	0.246366562	0.699648033	0.484147138	0.669028239
CEACAM7	Group enriched	colon: 583.2;rectum: 691.9	0.493108704	-1.856027523	1.178930876	-1.574331083	0.115410927	0.255575502
CD79B	Group enriched	appendix: 91.1;lymph node: 311.5;spleen: 157.4;tonsil: 189.1	38.26760885	0.587604681	0.176329216	3.332429507	0.000860913	0.005050837
SCN4A	Group enriched	adipose tissue: 12.4;skeletal muscle: 47.2	16.89778912	-1.514260864	0.240772538	-6.289175989	3.19E-10	1.08E-08
ST7L	Tissue enriched	testis: 65.0	109.1522974	-0.135313268	0.119643908	-1.13096663	0.258069137	0.44664639
TKTL1	Tissue enriched	testis: 225.8	2.174791418	-0.86240267	0.46552899	-1.852521943	0.06395091	0.166502457
PAX6	Group enriched	cerebral cortex: 22.3;stomach: 11.2	38.17346335	0.290500946	0.168781004	1.721170862	0.085219824	0.205639499
RPUSD1	Expressed in all		86.81816432	0.240961878	0.154623612	1.558376988	0.119143908	0.261746246
RHBDF1	Mixed		74.17599274	-1.11607271	0.18703209	-5.967279241	2.41E-09	6.71E-08
LUC7L	Expressed in all		273.4981788	0.223480589	0.168853906	1.323514481	0.185664344	0.357942195
CACNA2D2	Tissue enriched	lung: 72.9	12.94341025	0.052497193	0.214074989	0.245228056	0.806279854	0.89625455
BAIAP3	Tissue enhanced	adrenal gland: 24.9;cerebral cortex: 25.1;fallopian tube: 42.4	55.74911449	0.155743231	0.264194686	0.589501756	0.555524734	0.72705979
TSR3	Expressed in all		332.5284217	0.240050613	0.162265839	1.479366297	0.139042443	0.291976947
PIGQ	Expressed in all		359.7431954	0.142698236	0.17171354	0.831024951	0.405959534	0.599415783
CRAMP1	Mixed		77.94940699	-0.19723976	0.190806396	-1.033716709	0.301268619	0.494069421
TEAD3	Mixed		140.7936	-0.130969807	0.134651368	-0.972658568	0.330723024	0.525815177
SELE	Tissue enhanced	parathyroid gland: 45.2;prostate: 46.4	120.7748891	0.45121996	0.318797418	1.415381476	0.156956678	0.317445774
DNAJC11	Expressed in all		408.7197312	-0.063345256	0.107332946	-0.590175325	0.555073113	0.72669796
FMO3	Tissue enriched	liver: 556.7	7285.537958	0.745409088	0.166311261	4.482012132	7.39E-06	8.45E-05
MYLIP	Expressed in all		157.2343956	-0.489696122	0.123132085	-3.976998523	6.98E-05	0.000598655
NOX1	Group enriched	colon: 58.7;rectum: 79.9	4.670635542	0.259102337	0.345811075	0.749259801	0.453700632	0.643018095
E2F2	Tissue enhanced	bone marrow: 15.3	5.930255989	-0.335355345	0.308223287	-1.088027282	0.276583064	0.467507449
PSMB1	Expressed in all		1858.339155	0.215965707	0.06139256	3.517783076	0.000435168	0.002826151
SYN1	Tissue enriched	cerebral cortex: 378.9	10.08290951	-0.665872991	0.343469396	-1.938667604	0.052541826	0.143276031
JARID2	Mixed		201.346982	0.024648059	0.107845488	0.228549749	0.819218885	0.903336244
CDKL5	Tissue enhanced	cerebral cortex: 31.0	17.2183795	-0.607654397	0.26015998	-2.335695121	0.019507137	0.066328529
CAMK1G	Tissue enhanced	cerebral cortex: 32.3;ovary: 27.7	5.330361103	-1.395997158	0.376069182	-3.712075391	0.000205567	0.001491101
CDK11A	Expressed in all		312.8075688	0.253835402	0.156735961	1.619509661	0.10533765	0.239249098
NADK	Expressed in all		1785.470229	0.442992366	0.108218995	4.093480705	4.25E-05	0.000387053
TFAP2B	Tissue enhanced	epididymis: 39.4	0.289172414	0.658167288	1.433380807	0.459171272	0.646111179	NA
TFAP2D	Not detected		0.006733429	0.165896751	3.928753465	0.042226307	0.966318291	NA
DLEC1	Tissue enhanced	fallopian tube: 29.7;testis: 17.3	25.20277788	0.445092103	0.316836486	1.404800654	0.160080565	0.321958916
CYTH3	Expressed in all		164.5632982	-1.011440436	0.125650657	-8.049623119	8.30E-16	8.15E-14
ADAM22	Tissue enhanced	cerebral cortex: 47.6	17.01843432	-0.809138205	0.257948505	-3.136820676	0.001707906	0.008978033
SYPL1	Expressed in all		1269.452328	-0.503803443	0.121632897	-4.141999852	3.44E-05	0.000322925
CYB561	Expressed in all		357.374289	0.143506793	0.136150368	1.054031618	0.291868442	0.484429869
SPAG9	Expressed in all		672.4095594	-0.005848575	0.175142506	-0.033393234	0.973361005	0.9872418
CELSR3	Group enriched	adrenal gland: 1.6;cerebral cortex: 5.9;testis: 3.5	8.55297528	-0.373836059	0.216580286	-1.726085352	0.084332059	0.203892574
AASS	Mixed		820.1994534	0.269671301	0.178792491	1.508292096	0.131479785	0.280672866
PLEKHG6	Tissue enhanced	small intestine: 47.7	70.33684192	0.438148947	0.174309462	2.513626869	0.011949679	0.044699953
SS18L2	Expressed in all		302.8169044	0.363513086	0.139227834	2.610922517	0.009029835	0.035628417
MPND	Expressed in all		442.41452	0.860982381	0.189991836	4.531680934	5.85E-06	6.90E-05
MGST1	Expressed in all		21278.36959	0.226863636	0.110325862	2.05630512	0.039753115	0.115793856
CRY1	Expressed in all		196.7203038	-0.194347148	0.164453273	-1.181777317	0.23729407	0.422644271
PGLYRP1	Tissue enriched	bone marrow: 421.1	2.319193191	0.016567331	0.523268717	0.03166123	0.974742213	0.988240049
NFIX	Expressed in all		1284.666278	0.364428635	0.111322481	3.273630207	0.001061755	0.006035683
ST3GAL1	Expressed in all		4028.8681	0.266846315	0.13150829	2.029121628	0.042445903	0.121883248
MMP25	Tissue enhanced	appendix: 23.3;bone marrow: 24.7;spleen: 20.7	30.50080421	0.012257004	0.256053155	0.047868981	0.96182066	0.981782194
IL32	Expressed in all		3324.614544	-1.266882822	0.239294952	-5.294231282	1.20E-07	2.19E-06
PKD1	Mixed		630.9336973	0.067018389	0.177179278	0.378251848	0.705243512	0.831687877
MAPK8IP2	Tissue enriched	cerebral cortex: 78.2	1.11249888	-1.409413381	1.206950728	-1.167747239	0.242908736	0.429058906
MED24	Expressed in all		331.4150827	0.034557301	0.118550337	0.291498971	0.770669731	0.874352943
RHOBTB2	Mixed		107.7392706	-0.195720088	0.151381825	-1.292890263	0.196049016	0.371149757
HEATR5B	Expressed in all		282.0478242	-0.319027152	0.140921659	-2.263861741	0.02358262	0.076888298
SEC62	Expressed in all		6360.924944	0.433315816	0.099179984	4.368984547	1.25E-05	0.000133589
RPS20	Expressed in all		7863.733401	0.180822918	0.153607413	1.177175725	0.239125375	0.424757241
CSDE1	Expressed in all		5897.299224	-0.008295213	0.071812969	-0.115511356	0.90803982	0.955522287
UBE3C	Expressed in all		1050.682102	-0.062346618	0.078145332	-0.797829072	0.424969688	0.61690987
REV3L	Expressed in all		475.7309304	-0.21192394	0.122671075	-1.727578728	0.084063779	0.203481102
TENM1	Mixed		368.080337	0.819842208	0.1865814	4.394018954	1.11E-05	0.000121223
PAX7	Group enriched	cerebral cortex: 1.3;skeletal muscle: 2.2	0.023683521	0.507604355	3.92884572	0.129199361	0.897199902	NA
MASP2	Tissue enriched	liver: 105.5	2739.20539	0.312368589	0.10060929	3.104768856	0.001904278	0.009842072
IYD	Tissue enriched	thyroid gland: 794.5	1340.367656	0.415762497	0.1620628	2.565440665	0.010304484	0.039609254
FAM76A	Expressed in all		95.96399673	0.130239873	0.098537083	1.321734612	0.186256539	0.358833219
TRAF3IP3	Tissue enhanced	lymph node: 114.8;spleen: 82.5;tonsil: 82.8	81.74357709	-0.490864745	0.155295279	-3.160847817	0.001573107	0.00837301
POMT2	Expressed in all		114.0324518	0.048549084	0.110886378	0.437827304	0.661511476	0.803542926
VTA1	Expressed in all		581.5650812	0.031310951	0.182868636	0.171221003	0.864049993	0.928725187
MLXIPL	Tissue enhanced	adipose tissue: 60.8;duodenum: 58.7	2460.496636	0.978161663	0.153479846	6.373225462	1.85E-10	6.52E-09
BAZ1B	Expressed in all		1088.582416	0.050018341	0.062093948	0.805526824	0.420515734	0.612852956
RANBP9	Expressed in all		620.5000264	0.003206119	0.087063143	0.036825211	0.970624372	0.985630762
ETV7	Mixed		13.90767604	-0.519541379	0.302246606	-1.718932054	0.085626745	0.206470872
SPRTN	Mixed		92.85337515	-0.076032677	0.135259178	-0.562125825	0.574030294	0.739883806
METTL13	Expressed in all		195.0756236	-0.056615273	0.13664476	-0.414324511	0.678636465	0.815054406
DYRK4	Tissue enhanced	testis: 66.2	83.54317016	-0.188070314	0.110243064	-1.705960513	0.088015432	0.210649759
ZNF207	Expressed in all		990.6072377	-0.162690876	0.089375959	-1.820297947	0.068713644	0.175326849
