TranscriptID	T020	25	28	T077	T084	T115	T123	21	19	20	22	23	24	26	27	29	11	15	13	14	12	16	17	18	T015	T051	T031	T047	T054	T096	T135	T122	T143	T138	T144	T020	T123	23	24	19	T004	T013	T028	T094	T095	T104	X042	P130	30	X149	P030	P031	P110	P059	P015	P122	T011	T009	T032	T050	T081	T075	T091	T103	P075	T111	T042	T061	T001	T045	T112	T113	T005	T136	T023	P011	T006	T150	T022	T107	P003	1	2	3	4	5	6	7	8	9	10	P130	T002	T012	T016	T017	T070	T076	T128	T132	T134	T149	P031	P110	P059	P015	P122	T011	T009	T032	T050	T081	T075	T091	T103	P075	T111	T045	T112	T113	T005	T136	T023	P011	T006	T150	T022	T107	P003
ENST00000430492	0	0	0	0	0	0	0	1.00E-04	0	0	0	3.00E-04	0	0	6.00E-04	0	0	0	0	0	3.00E-04	25.3724	0	0	1.00E-04	0	0	0	1.6891	0.0062	0	0	0	0	0	0	0	0	0.0147	0	0	0	0	0	0	0	0	10.357	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	1.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000473358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000469289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000408384	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1137	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0.2904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000417324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000461467	0	0	0	0	0	0	2.00E-04	1.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1795	1.00E-04	0	1.00E-04	0	0	1.00E-04	1.00E-04	0	1.00E-04	0	2.00E-04	0	0	0	0	0	0	0	0	0	1.00E-04	0	0	0	0	0	1.00E-04	0	0	0	0	0	0	0	1.00E-04	0	0	0	0	0	0	0	0	0	0	0	3.00E-04	0	0	0	0	0	0	0	0	1.00E-04	2.00E-04	0.4984	0	0	0	0	1.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-04	0	4.00E-04	0	0	0	0	0	0	1.00E-04	0	1.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000492842	3.00E-04	0	0	0	0	0	0	0	0	0	0	0	3.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000335137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000466430	33.3801	19.9894	22.6597	19.7701	12.9907	21.4558	58.2449	37.0376	63.7034	11.2051	6.8873	20.0235	68.0302	17.4046	14.0441	73.264	52.4519	29.1997	0.7797	12.0231	32.8194	132.2788	33.0305	11.3364	14.8303	15.9783	21.1167	39.0027	39.4366	38.8062	19.9437	28.337	30.7613	0	24.7204	40.0094	49.0524	11.1254	38.7326	5.3837	16.4277	9.3275	10.2688	4.7913	5.4905	3.5428	0	6.7356	25.743	13.9097	0	0	0	0	8.6005	9.615	8.9839	18.686	8.5554	7.358	5.261	0	2.86	19.6062	10.5478	9.3122	14.0221	17.6877	0	12.5556	17.5253	18.2081	15.2926	16.6446	34.3081	9.1032	15.2798	18.1269	3.6223	5.5128	5.7735	3.736	33.5068	35.2289	18.7792	47.2473	65.6142	12.8186	0.3586	37.4244	14.6273	1.923	63.5541	0	0	0	0	23.1452	5.7053	29.7292	28.808	3.6896	0	2.2645	0	0	7.6921	2.0068	15.8967	8.2274	3.915	3.3721	3.6492	0.5091	0	0	12.9272	0	0	3.9002	0	0	2.5135	0	1.8887	0	2.6414	2.584	7.7729
ENST00000477740	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00E-04	0	0	0	0	0	0	0	0	0.0178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000471248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8487	0	0	1.3954	0	0	0	0	0.2622	0	0	0	0	0	0	0	0	0	0	0.0226	0	0	0	1.3954	0	0	0	0	0.2947	2.6429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.6944	3.4705	0	0	0	1.4413	0	0.0494	0	0	0	0	0	0	0	0.0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7301	0	0	0	0	0	0	0	0.9479	0	0	0	0	0	0	0	0	0	0	0	1.7718	0	0	0	0	0	0	0	0	0	0	0	1.3953	0	0	0.6248	0
ENST00000453576	0	0	0	0	0.3883	0	0	2.6666	0	3.062	0.4713	0	0	0	0	0	0	0	0	0	0	0.3333	1.1139	0	0	0	0	0	3.8327	0.0013	0	0	1.0503	5.4604	0	0	0.2852	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0.6039	0	0	0	0	0.5962	0	0.3333	0.5372	0	0.433	0	0	0	0	0	0.8848	0	0	0	0	1.2434	0	0	0.9163	0	0	0	1	0.1807	0.3333	0	0	0	0	0	0	0	0	0.2415	0	0	0	14.3719	2	0	0	0	0	0	0	0	0	0	0	0	0.2135	0	0.3333	0	0.0023	0.1617	0	0	0.0656	0	0	0	0.8612	0	0	0	0	0	0	0	0	0
ENST00000495576	0	0	2.2055	11.9305	1.00E-04	11.0788	0	4.2811	0	0.0341	0	4.473	1.5948	3.6515	11.2748	0	0	16.008	13.1597	2.5355	16.2743	0.4192	0.0468	1.0619	0.3431	11.609	0.3406	12.1016	0	0	0	0	0	0	4.6984	1.00E-04	0	0	6.6937	6.9528	3.6576	0	0	1.9308	10.0485	7.0518	0	4.1501	0	1.8462	3.3531	7.2205	2.2208	3.2962	9.4138	2.7358	9.5331	9.2315	3.971	0	0	22.2949	2.8714	0	0.4638	0	0.1122	0	3.4223	12.4808	1.2343	0	2.0078	7.4458	12.5013	0	1.304	0.3799	0	6.1065	1.0141	2.00E-04	1.2512	8.4542	0	7.3414	0	8.6845	17.7003	6.0053	9.6104	0.9562	0.0017	23.0675	0	1.2437	5.4614	6.0514	12.4949	0.0074	27.5549	14.9452	0	0	0	4.2704	2.6009	0	1.00E-04	0	0	0	10.6584	5.825	3.2946	11.8461	0	5.00E-04	0	2.9337	0	4.429	0	1.4435	0.0036	1	1.00E-04	1.2748	0
ENST00000442987	30.4839	0.3921	20.296	64.6796	0.001	0.2577	0	21.1981	0.134	2.00E-04	9.9732	0	1.3202	0	0.0558	10.9402	0	2.177	0	8.9028	0.0551	15.3136	0	5.9229	9.5896	0	0	0	0	11.5526	3.6843	4.00E-04	0	0	0	0	1.00E-04	0.9715	0	2.754	1.00E-04	0	11.9943	19.1207	0	0	0	0	1.00E-04	9.5942	0	0	8.7109	0	0	8	0	0	0	0	0	0	19.1152	0	0	6.1176	0	8.7406	0	0.0019	4.7732	2.00E-04	0.221	0.0057	0	0	0	3.3088	0	0	0	0	0	4.00E-04	13.9757	0	0	0	0	0	0	0	0	0	47.2355	0	0	0	4.3513	2.00E-04	44.7523	0	0	0	0	7.9368	1.7156	0	0	2.7472	0	0	0	0	0	0	0	2.638	0	0	0	0.7672	0	0	0.0677	0	0	0	0
ENST00000423372	13.2222	7.7634	67.828	415.6216	58.6417	66.7223	74.6364	79.9536	51.8825	0	14.743	26.5217	12.8751	71.8475	17.9232	157.0251	84.1992	137.3151	21.885	7.2451	38.9829	134.6651	67.4377	30.2987	41.2809	66.8353	25.3071	71.3923	85.2162	140.4022	15.3845	0.003	6.9003	168.7401	26.7464	12.8828	69.1858	24.5659	0	83.406	0	0	34.9469	38.5636	4.5722	46.5257	8.4796	97.0229	152.6582	242.2756	0	26.7119	116.9128	0	25.2993	0	46.8302	7.0722	16.1962	0	39.0384	93.9324	15.6721	34.0401	38.868	0.2881	26.1825	23.1315	0	41.2399	26.3386	128.2206	140.5446	15.7828	39.2155	30.2021	15.687	0.0013	22.16	12.4938	17.7152	15.6005	159.5546	74.0446	73.8279	91.3115	35.4899	32.0403	67.4314	98.495	65.6532	58.4148	207.6614	0	0	17.1168	25.9251	18.3695	80.6209	117.125	97.5525	34.5706	0	28.2453	0	7.9464	0	65.161	6.3292	4.8704	11.6807	6.9692	43.3473	19.372	24.8456	15.3593	0	20.8637	0	31.1348	34.2564	10.4292	17.8804	4.0069	3.3621	0	0	7.4695	0
ENST00000494149	0	0	0	3.00E-04	0	0.0017	0	0	0	0	0	0	1.4596	0	0	17.667	0	0	0	0	3.9053	0	0	0	8.4121	16.8624	0	0	0	0.0011	0	7.5495	0	20.2216	0	0	16.9227	17.5218	1.00E-04	0	0	2.00E-04	12.6665	0	0	0	0	0	0	0.0021	0	5.00E-04	0	22.6502	0	0	0.7474	12.1995	0	0	4.2781	34.3781	0.0146	0	20.9002	11.2636	3.6399	0	0	0	0.0927	0.0167	0	10.1182	0	0	0.5303	0	17.073	0	0	18.5603	0	0	0	0	0	0	17.2603	8.7596	0	0	0	0.0011	0.0131	0.0034	0	0	4.924	0	0	0	0	3.3847	8.5374	7.694	0	2.00E-04	0	0	0	20.1438	30.1185	0	0	0	0	0	4.0105	0	0	0	0	0	0	0	0.1893	0	8.3163
ENST00000435839	3.9158	2.2098	0	11.4163	2.3338	0	0	2.149	0	0	0	0	0	0	0	0	0	10.9856	0	0	0	0	0	0	0	14.9162	0	0	0	7.735	4.349	0	0	0	1.8421	1.4758	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9585	0	0	0	0	0	0	0	0	0	0	0	1.821	0	0	1.5753	1.5895	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1955	0	0	0	0	0	3.8761	0	0	0	1.6699	0	0	4.7367	0	0	0	2.8127	0	16.62	0	7.0721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0083	0	0
ENST00000537461	19.2733	22.9014	0	28.4774	2.8108	1.8338	10.1167	0	2.5318	0	0	6.408	13.1058	17.4145	10.9268	2.862	4.086	0	0	0	9.295	2.6497	0	0	0	0	0	2.4794	8.888	5.1	5.8576	0	0	0	0	0	9.5355	7.8481	16.9845	13.848	6.4381	3.5898	25.1158	0	0	0	0	9.309	14.3757	7.154	0.0874	0	0	3.4255	2.0225	0	5.7207	0	0	1.6477	15.129	0	0	8.5484	6.0363	0	0	2.4861	3.6734	2.3272	0	6.7626	8.5901	12.211	4.3221	0	0	0	7.0489	0	0	0	4.275	0	0	22.8397	13.202	6.9533	6.7843	2.5765	0	4.0287	3.2604	0	0	0	0	0	0	0	0	0	0	0	1.7911	3.8367	0	2.8769	3.1375	0.0086	1.6309	8.4564	0	0	1.00E-04	3.9318	0	0	0	0	0	0	1.9233	0	0.3329	0	1.5913	0	0
ENST00000493797	7.2132	1.00E-04	8.8781	7.6908	7.0676	17.2442	10.7875	12.2184	0	6.9682	2.0154	5.5996	0.0083	7.0957	1.8789	14.372	5.1423	4.4527	0	5.6198	0	6.7989	3.8239	0	5.4772	0	5.4559	11.5249	2.4514	2.8392	0	0	7.3853	13.3557	6.5456	5.5828	0	0	0	1.5035	2.2046	7.4837	5.8171	3.3692	0.8864	1.0784	0	1.7152	0.0698	0	0	0	0	2.4541	8.0939	0	10.4886	0	0	4.9716	4.0251	7.4205	0	5.0742	3.661	0	0	0	3.0126	0	0	3.3082	0	2.2973	1.5542	0	0	0	2	2.154	0	3.5747	0	2.6039	0	7.7408	4.354	5.3027	0	0	1.1293	1.9815	8.5116	0	0	0	4.7171	0	7.8829	0	4.4355	0	0	0	0	2.608	0	0.6574	0	0	0	0.8872	8.3767	0	0	1.3586	6.065	0	0	5.2638	0	0	0	0	2.0692	0	0.8227	0	0
ENST00000484859	43.1303	68.0157	28.8353	232.713	61.3311	40.2506	83.6276	38.1736	0	0.0023	5.7592	4.3759	44.9922	10.4934	46.2662	30.5446	33.3397	15.1079	23.4399	8.2892	16.622	31.6589	23.6809	20.2564	0	33.0015	22.3765	23.7346	63.4204	38.1684	27.468	5.5197	49.1489	16.2903	45.7527	23.8099	32.5849	23.3676	0	0	27.9686	16.3762	0	6.3202	4.3819	9.5355	0.5348	17.4556	16.9335	61.1257	0	34.7012	30.7802	0	1.00E-04	0	37.6448	23.1097	7.4396	13.6484	26.8787	1.00E-04	11.5129	25.1106	34.1423	0	0	26.8594	0	53.6676	13.2489	14.8899	31.6794	7.9155	9.1315	19.339	32.0611	7.1939	43.3327	26.5301	13.9024	0.0049	44.859	14.7515	21.08	8.6693	33.185	31.386	12.886	4.00E-04	14.6072	7.4666	23.0192	16.0053	0	0	2.5689	18.9808	0.001	0	30.0011	12.6627	0.5	11.0306	5.7133	2.7413	0	12.2665	0	0	9.5117	23.4068	0.0042	9.4558	5.4173	5.0057	11.3854	8.3031	0	28.2155	0	0	0	3.4095	2.0626	0	4.155	0	4.5673
ENST00000490997	0	0	2.2685	0	0	0	0	0	1.3906	0	0	0	0	0.9664	0	0	0	0	0	3.4795	0	0	0	0	0	0	0	0	0	0	2.7381	0	0	0	0	0	0	0	0	0.8602	0	1.2662	3.7056	0	0	3.9862	0	0	0	0	0	0	1.00E-04	0	0	0	0	3.1256	0	0	0	2.2876	0	0	0	0	1.1667	0	0	0	0	0	0	0.9223	0	0	0	0	0	0	0	0	4.2889	0	0	1.4949	1.5342	0	0	2.4819	0	0	1.2622	0	0	0	0	0	0	0	0	2.4456	0	4.1954	0.0663	0	0	0	0	4.0369	0	0	0	0	0	0	0	0	0	0.0041	0	0.7757	2.0144	0.3679	0	0	0	0	0
ENST00000410691	0	0.6667	0.4444	0.1111	1.1111	0.1111	0	0	0	0	0	0	0	0	0.2222	0	0	0	0	0	0	0.1	0.1	0	0	0.1	0	0	0	0	0	0	0	0	0	0.1	0	0	0.1	0	0	0.1111	0	0	0	0.2	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2222	0	0	0	0.1	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000496488	0	1.9609	0	1.5039	0	2	0.7844	4	0.394	0	0	0.3922	0	0.3922	0	0	1.1766	3	0	0.7844	0	0	1.3298	0	0	0	0	0	2.3444	0	1.1766	0	0	2.5157	0.3922	0	0.3922	0.3922	0	0	2	0	0	0	2	0	0	0	0	0	0	1.1766	1.0061	0.3922	1	0	0	0	1.1766	0	0.6315	0	0	0	3.8444	0	0	0	0	4	0	0	2	1	0.3922	0	0	0	0	0	0	4	3	0	0	0	2.6422	0	2.2852	1.0028	0.3936	0	0	0	0	0	0	0	0	2.0099	0	0	0	0	0	3	0	0	0	0	0	1.3274	0	0.5069	0	0.3922	0	1	0	0	0.3922	0	0	1	0	0	0	0	0
ENST00000466557	8.6083	54.026	32.1202	129.8006	29.2969	11.959	18.2992	41.0613	18.6757	17.2681	14.5573	0	29.8132	22.2944	10.4244	16.8168	3.4911	16.2894	14.6613	19.6555	22.2206	36.3886	22.0861	30.629	20.6742	20.3854	0	38.4063	26.2559	71.0105	27.0854	21.5367	5.4312	26.9906	16.303	8.8181	32.3764	25.3566	2.1793	17.6221	25.7597	38.4509	12.3497	8.1521	6.8938	19.7644	12.6443	0.0303	36.2472	40.2086	2.7724	18.0226	18.5269	18.4141	0	3.00E-04	7.7727	0.0672	9.6213	21.4842	7.0368	45.0837	31.9495	17.7173	22.4776	23.7172	29.3846	31.2068	16.782	19.8868	20.8412	15.0381	14.9971	3.446	20.45	14.9696	6.6217	3.1525	20.8551	0	0.6108	4.2079	24.2949	29.8222	10.9689	41.4458	21.0909	36.1517	61.8022	53.7427	26.6226	4.786	23.7939	18.656	52.3809	0	0	31.721	0.0022	16.9589	28.1064	8.9959	0	8.8753	1.342	1.5711	2.5637	7.7458	5.5828	2.0481	10.4889	7.583	35.8442	20.3623	8.1277	11.118	0.0034	4.9069	0	5.1848	14.0593	0.2212	6.9733	11.1669	3.5119	0	0	0	0
